key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level
AD,Q228,country/AND,AD,Andorra,,,,,AD,AND,0
AE,Q878,country/ARE,AE,United Arab Emirates,,,,,AE,ARE,0
AF,Q889,country/AFG,AF,Afghanistan,,,,,AF,AFG,0
AG,Q781,country/ATG,AG,Antigua and Barbuda,,,,,AG,ATG,0
AI,Q25228,country/AIA,AI,Anguilla,,,,,AI,AIA,0
AL,Q222,country/ALB,AL,Albania,,,,,AL,ALB,0
AM,Q399,country/ARM,AM,Armenia,,,,,AM,ARM,0
AN,Q25227,country/ANT,AN,Netherlands Antilles,,,,,,,0
AO,Q916,country/AGO,AO,Angola,,,,,AO,AGO,0
AQ,Q51,,AQ,Antarctica,,,,,AQ,ATA,0
AR,Q414,country/ARG,AR,Argentina,,,,,AR,ARG,0
AR_A,Q44803,,AR,Argentina,A,Salta,,,AR,ARG,1
AR_B,Q44754,,AR,Argentina,B,Buenos Aires Province,,,AR,ARG,1
AR_C,Q1486,,AR,Argentina,C,City of Buenos Aires,,,AR,ARG,1
AR_D,Q44818,,AR,Argentina,D,San Luis,,,AR,ARG,1
AR_E,Q44762,,AR,Argentina,E,Entre Ríos,,,AR,ARG,1
AR_F,Q44796,,AR,Argentina,F,La Rioja,,,AR,ARG,1
AR_G,Q44827,,AR,Argentina,G,Santiago del Estero,,,AR,ARG,1
AR_H,Q44757,,AR,Argentina,H,Chaco,,,AR,ARG,1
AR_J,Q44805,,AR,Argentina,J,San Juan,,,AR,ARG,1
AR_K,Q44756,,AR,Argentina,K,Catamarca,,,AR,ARG,1
AR_L,Q44795,,AR,Argentina,L,La Pampa,,,AR,ARG,1
AR_M,Q44797,,AR,Argentina,M,Mendoza,,,AR,ARG,1
AR_N,Q44798,,AR,Argentina,N,Misiones,,,AR,ARG,1
AR_P,Q44761,,AR,Argentina,P,Formosa,,,AR,ARG,1
AR_Q,Q44800,,AR,Argentina,Q,Neuquén,,,AR,ARG,1
AR_R,Q44802,,AR,Argentina,R,Río Negro,,,AR,ARG,1
AR_S,Q44823,,AR,Argentina,S,Santa Fe,,,AR,ARG,1
AR_T,Q44829,,AR,Argentina,T,Tucumán,,,AR,ARG,1
AR_U,Q45007,,AR,Argentina,U,Chubut,,,AR,ARG,1
AR_V,Q44832,,AR,Argentina,V,Tierra del Fuego,,,AR,ARG,1
AR_W,Q44758,,AR,Argentina,W,Corrientes,,,AR,ARG,1
AR_X,Q44759,,AR,Argentina,X,Córdoba,,,AR,ARG,1
AR_Y,Q44764,,AR,Argentina,Y,Jujuy,,,AR,ARG,1
AR_Z,Q44821,,AR,Argentina,Z,Santa Cruz,,,AR,ARG,1
AS,Q16641,country/ASM,AS,American Samoa,,,,,AS,ASM,0
AT,Q40,country/AUT,AT,Austria,,,,,AT,AUT,0
AT_11,Q43210,nuts/AT11,AT,Austria,11,Burgenland,,,AT,AUT,1
AT_12,Q42497,nuts/AT12,AT,Austria,12,Niederösterreich,,,AT,AUT,1
AT_13,Q1741,nuts/AT13,AT,Austria,13,Wien,,,AT,AUT,1
AT_21,Q37985,nuts/AT21,AT,Austria,21,Kärnten,,,AT,AUT,1
AT_22,Q41358,nuts/AT22,AT,Austria,22,Steiermark,,,AT,AUT,1
AT_31,Q41967,nuts/AT31,AT,Austria,31,Oberösterreich,,,AT,AUT,1
AT_32,Q43325,nuts/AT32,AT,Austria,32,Salzburg,,,AT,AUT,1
AT_33,Q42880,nuts/AT33,AT,Austria,33,Tirol,,,AT,AUT,1
