Date,Country,Region,Confirmed,Deaths,Recovered
2020-01-22,??,Diamond Princess,0,0,0
2020-01-22,Andorra,,0,0,0
2020-01-22,United Arab Emirates,,0,0,0
2020-01-22,Afghanistan,,0,0,0
2020-01-22,Antigua and Barbuda,,0,0,0
2020-01-22,Albania,,0,0,0
2020-01-22,Armenia,,0,0,0
2020-01-22,Argentina,,0,0,0
2020-01-22,Austria,,0,0,0
2020-01-22,Australia,Australian Capital Territory,0,0,0
2020-01-22,Australia,From Diamond Princess,0,0,0
2020-01-22,Australia,New South Wales,0,0,0
2020-01-22,Australia,Northern Territory,0,0,0
2020-01-22,Australia,Queensland,0,0,0
2020-01-22,Australia,South Australia,0,0,0
2020-01-22,Australia,Tasmania,0,0,0
2020-01-22,Australia,Victoria,0,0,0
2020-01-22,Australia,Western Australia,0,0,0
2020-01-22,Aruba,,0,0,0
2020-01-22,Azerbaijan,,0,0,0
2020-01-22,Bosnia and Herzegovina,,0,0,0
2020-01-22,Bangladesh,,0,0,0
2020-01-22,Belgium,,0,0,0
2020-01-22,Burkina Faso,,0,0,0
2020-01-22,Bulgaria,,0,0,0
2020-01-22,Bahrain,,0,0,0
2020-01-22,Brunei Darussalam,,0,0,0
2020-01-22,Bolivia,,0,0,0
2020-01-22,Brazil,,0,0,0
2020-01-22,Bhutan,,0,0,0
2020-01-22,Belarus,,0,0,0
2020-01-22,Canada,Alberta,0,0,0
2020-01-22,Canada,British Columbia,0,0,0
2020-01-22,Canada,Grand Princess,0,0,0
2020-01-22,Canada,Manitoba,0,0,0
2020-01-22,Canada,New Brunswick,0,0,0
2020-01-22,Canada,Ontario,0,0,0
2020-01-22,Canada,Quebec,0,0,0
2020-01-22,Canada,Saskatchewan,0,0,0
2020-01-22,Congo,,0,0,0
2020-01-22,Switzerland,,0,0,0
2020-01-22,Côte d'Ivoire,,0,0,0
2020-01-22,Chile,,0,0,0
2020-01-22,Cameroon,,0,0,0
2020-01-22,China,Anhui,1,0,0
2020-01-22,China,Beijing,14,0,0
2020-01-22,China,Chongqing,6,0,0
2020-01-22,China,Fujian,1,0,0
2020-01-22,China,Gansu,0,0,0
2020-01-22,China,Guangdong,26,0,0
2020-01-22,China,Guangxi,2,0,0
2020-01-22,China,Guizhou,1,0,0
2020-01-22,China,Hainan,4,0,0
2020-01-22,China,Hebei,1,0,0
2020-01-22,China,Heilongjiang,0,0,0
2020-01-22,China,Henan,5,0,0
2020-01-22,China,Hong Kong,0,0,0
2020-01-22,China,Hubei,444,17,28
2020-01-22,China,Hunan,4,0,0
2020-01-22,China,Inner Mongolia,0,0,0
2020-01-22,China,Jiangsu,1,0,0
2020-01-22,China,Jiangxi,2,0,0
2020-01-22,China,Jilin,0,0,0
2020-01-22,China,Liaoning,2,0,0
2020-01-22,China,Macau,1,0,0
2020-01-22,China,Ningxia,1,0,0
2020-01-22,China,Qinghai,0,0,0
2020-01-22,China,Shaanxi,0,0,0
2020-01-22,China,Shandong,2,0,0
2020-01-22,China,Shanghai,9,0,0
2020-01-22,China,Shanxi,1,0,0
2020-01-22,China,Sichuan,5,0,0
2020-01-22,China,Tianjin,4,0,0
2020-01-22,China,Tibet,0,0,0
2020-01-22,China,Xinjiang,0,0,0
2020-01-22,China,Yunnan,1,0,0
2020-01-22,China,Zhejiang,10,0,0
2020-01-22,Colombia,,0,0,0
2020-01-22,Costa Rica,,0,0,0
2020-01-22,Cuba,,0,0,0
2020-01-22,Cyprus,,0,0,0
2020-01-22,Czechia,,0,0,0
2020-01-22,Germany,,0,0,0
2020-01-22,Denmark,Denmark,0,0,0
2020-01-22,Denmark,Faroe Islands,0,0,0
2020-01-22,Dominican Republic,,0,0,0
2020-01-22,Algeria,,0,0,0
2020-01-22,Ecuador,,0,0,0
2020-01-22,Estonia,,0,0,0
2020-01-22,Egypt,,0,0,0
2020-01-22,Spain,,0,0,0
2020-01-22,Ethiopia,,0,0,0
2020-01-22,Finland,,0,0,0
2020-01-22,France,France,0,0,0
2020-01-22,France,French Polynesia,0,0,0
2020-01-22,France,Saint Barthelemy,0,0,0
2020-01-22,France,St Martin,0,0,0
2020-01-22,Georgia,,0,0,0
2020-01-22,French Guiana,,0,0,0
2020-01-22,Guinea,,0,0,0
2020-01-22,Guadeloupe,,0,0,0
2020-01-22,Greece,,0,0,0
2020-01-22,Guyana,,0,0,0
2020-01-22,Honduras,,0,0,0
2020-01-22,Croatia,,0,0,0
2020-01-22,Hungary,,0,0,0
2020-01-22,Indonesia,,0,0,0
2020-01-22,Ireland,,0,0,0
2020-01-22,Israel,,0,0,0
2020-01-22,India,,0,0,0
2020-01-22,Iraq,,0,0,0
2020-01-22,Iran,,0,0,0
2020-01-22,Iceland,,0,0,0
2020-01-22,Italy,,0,0,0
2020-01-22,Jamaica,,0,0,0
2020-01-22,Jordan,,0,0,0
2020-01-22,Japan,,2,0,0
2020-01-22,Kenya,,0,0,0
2020-01-22,Cambodia,,0,0,0
2020-01-22,Korea,,1,0,0
2020-01-22,Kuwait,,0,0,0
2020-01-22,Cayman Islands,,0,0,0
2020-01-22,Kazakhstan,,0,0,0
2020-01-22,Lebanon,,0,0,0
2020-01-22,Liechtenstein,,0,0,0
2020-01-22,Sri Lanka,,0,0,0
2020-01-22,Lithuania,,0,0,0
2020-01-22,Luxembourg,,0,0,0
2020-01-22,Latvia,,0,0,0
2020-01-22,Morocco,,0,0,0
2020-01-22,Monaco,,0,0,0
2020-01-22,Moldova,,0,0,0
2020-01-22,North Macedonia,,0,0,0
2020-01-22,Mongolia,,0,0,0
2020-01-22,Martinique,,0,0,0
2020-01-22,Malta,,0,0,0
2020-01-22,Maldives,,0,0,0
2020-01-22,Mexico,,0,0,0
2020-01-22,Malaysia,,0,0,0
2020-01-22,Nigeria,,0,0,0
2020-01-22,Netherlands,,0,0,0
2020-01-22,Norway,,0,0,0
2020-01-22,Nepal,,0,0,0
2020-01-22,New Zealand,,0,0,0
2020-01-22,Oman,,0,0,0
2020-01-22,Panama,,0,0,0
2020-01-22,Peru,,0,0,0
2020-01-22,Philippines,,0,0,0
2020-01-22,Pakistan,,0,0,0
2020-01-22,Poland,,0,0,0
2020-01-22,Portugal,,0,0,0
2020-01-22,Paraguay,,0,0,0
2020-01-22,Qatar,,0,0,0
2020-01-22,Réunion,,0,0,0
2020-01-22,Romania,,0,0,0
2020-01-22,Serbia,,0,0,0
2020-01-22,Russian Federation,,0,0,0
2020-01-22,Saudi Arabia,,0,0,0
2020-01-22,Sudan,,0,0,0
2020-01-22,Sweden,,0,0,0
2020-01-22,Singapore,,0,0,0
2020-01-22,Slovenia,,0,0,0
2020-01-22,Slovakia,,0,0,0
2020-01-22,San Marino,,0,0,0
2020-01-22,Senegal,,0,0,0
2020-01-22,Togo,,0,0,0
2020-01-22,Thailand,,2,0,0
2020-01-22,Tunisia,,0,0,0
2020-01-22,Turkey,,0,0,0
2020-01-22,Taiwan,,1,0,0
2020-01-22,Ukraine,,0,0,0
2020-01-22,UK,Channel Islands,0,0,0
2020-01-22,UK,Gibraltar,0,0,0
2020-01-22,UK,United Kingdom,0,0,0
2020-01-22,United States of America,Alaska,0,0,0
2020-01-22,United States of America,Alabama,0,0,0
2020-01-22,United States of America,Arkansas,0,0,0
2020-01-22,United States of America,Arizona,0,0,0
2020-01-22,United States of America,California,0,0,0
2020-01-22,United States of America,Colorado,0,0,0
2020-01-22,United States of America,Connecticut,0,0,0
2020-01-22,United States of America,District of Columbia,0,0,0
2020-01-22,United States of America,Delaware,0,0,0
2020-01-22,United States of America,Diamond Princess,0,0,0
2020-01-22,United States of America,Florida,0,0,0
2020-01-22,United States of America,Georgia,0,0,0
2020-01-22,United States of America,Grand Princess,0,0,0
2020-01-22,United States of America,Hawaii,0,0,0
2020-01-22,United States of America,Iowa,0,0,0
2020-01-22,United States of America,Idaho,0,0,0
2020-01-22,United States of America,Illinois,0,0,0
2020-01-22,United States of America,Indiana,0,0,0
2020-01-22,United States of America,Kansas,0,0,0
2020-01-22,United States of America,Kentucky,0,0,0
2020-01-22,United States of America,Louisiana,0,0,0
2020-01-22,United States of America,Massachusetts,0,0,0
2020-01-22,United States of America,Maryland,0,0,0
2020-01-22,United States of America,Maine,0,0,0
2020-01-22,United States of America,Michigan,0,0,0
2020-01-22,United States of America,Minnesota,0,0,0
2020-01-22,United States of America,Missouri,0,0,0
2020-01-22,United States of America,Mississippi,0,0,0
2020-01-22,United States of America,Montana,0,0,0
2020-01-22,United States of America,North Carolina,0,0,0
2020-01-22,United States of America,North Dakota,0,0,0
2020-01-22,United States of America,Nebraska,0,0,0
2020-01-22,United States of America,New Hampshire,0,0,0
2020-01-22,United States of America,New Jersey,0,0,0
2020-01-22,United States of America,New Mexico,0,0,0
2020-01-22,United States of America,Nevada,0,0,0
2020-01-22,United States of America,New York,0,0,0
2020-01-22,United States of America,Ohio,0,0,0
2020-01-22,United States of America,Oklahoma,0,0,0
2020-01-22,United States of America,Oregon,0,0,0
2020-01-22,United States of America,OR ,0,0,0
2020-01-22,United States of America,Pennsylvania,0,0,0
2020-01-22,United States of America,Rhode Island,0,0,0
2020-01-22,United States of America,South Carolina,0,0,0
2020-01-22,United States of America,South Dakota,0,0,0
2020-01-22,United States of America,Tennessee,0,0,0
2020-01-22,United States of America,Texas,0,0,0
2020-01-22,United States of America,Utah,0,0,0
2020-01-22,United States of America,Virginia,0,0,0
2020-01-22,United States of America,Vermont,0,0,0
2020-01-22,United States of America,Washington,1,0,0
2020-01-22,United States of America,Wisconsin,0,0,0
2020-01-22,United States of America,West Virginia,0,0,0
2020-01-22,United States of America,Wyoming,0,0,0
2020-01-22,Holy See,,0,0,0
2020-01-22,Vietnam,,0,0,0
2020-01-22,South Africa,,0,0,0
2020-01-23,??,Diamond Princess,0,0,0
2020-01-23,Andorra,,0,0,0
2020-01-23,United Arab Emirates,,0,0,0
2020-01-23,Afghanistan,,0,0,0
2020-01-23,Antigua and Barbuda,,0,0,0
2020-01-23,Albania,,0,0,0
2020-01-23,Armenia,,0,0,0
2020-01-23,Argentina,,0,0,0
2020-01-23,Austria,,0,0,0
2020-01-23,Australia,Australian Capital Territory,0,0,0
2020-01-23,Australia,From Diamond Princess,0,0,0
2020-01-23,Australia,New South Wales,0,0,0
2020-01-23,Australia,Northern Territory,0,0,0
2020-01-23,Australia,Queensland,0,0,0
2020-01-23,Australia,South Australia,0,0,0
2020-01-23,Australia,Tasmania,0,0,0
2020-01-23,Australia,Victoria,0,0,0
2020-01-23,Australia,Western Australia,0,0,0
2020-01-23,Aruba,,0,0,0
2020-01-23,Azerbaijan,,0,0,0
2020-01-23,Bosnia and Herzegovina,,0,0,0
2020-01-23,Bangladesh,,0,0,0
2020-01-23,Belgium,,0,0,0
2020-01-23,Burkina Faso,,0,0,0
2020-01-23,Bulgaria,,0,0,0
2020-01-23,Bahrain,,0,0,0
2020-01-23,Brunei Darussalam,,0,0,0
2020-01-23,Bolivia,,0,0,0
2020-01-23,Brazil,,0,0,0
2020-01-23,Bhutan,,0,0,0
2020-01-23,Belarus,,0,0,0
2020-01-23,Canada,Alberta,0,0,0
2020-01-23,Canada,British Columbia,0,0,0
2020-01-23,Canada,Grand Princess,0,0,0
2020-01-23,Canada,Manitoba,0,0,0
2020-01-23,Canada,New Brunswick,0,0,0
2020-01-23,Canada,Ontario,0,0,0
2020-01-23,Canada,Quebec,0,0,0
2020-01-23,Canada,Saskatchewan,0,0,0
2020-01-23,Congo,,0,0,0
2020-01-23,Switzerland,,0,0,0
2020-01-23,Côte d'Ivoire,,0,0,0
2020-01-23,Chile,,0,0,0
2020-01-23,Cameroon,,0,0,0
2020-01-23,China,Anhui,9,0,0
2020-01-23,China,Beijing,22,0,0
2020-01-23,China,Chongqing,9,0,0
2020-01-23,China,Fujian,5,0,0
2020-01-23,China,Gansu,2,0,0
2020-01-23,China,Guangdong,32,0,2
2020-01-23,China,Guangxi,5,0,0
2020-01-23,China,Guizhou,3,0,0
2020-01-23,China,Hainan,5,0,0
2020-01-23,China,Hebei,1,1,0
2020-01-23,China,Heilongjiang,2,0,0
2020-01-23,China,Henan,5,0,0
2020-01-23,China,Hong Kong,2,0,0
2020-01-23,China,Hubei,444,17,28
2020-01-23,China,Hunan,9,0,0
2020-01-23,China,Inner Mongolia,0,0,0
2020-01-23,China,Jiangsu,5,0,0
2020-01-23,China,Jiangxi,7,0,0
2020-01-23,China,Jilin,1,0,0
2020-01-23,China,Liaoning,3,0,0
2020-01-23,China,Macau,2,0,0
2020-01-23,China,Ningxia,1,0,0
2020-01-23,China,Qinghai,0,0,0
2020-01-23,China,Shaanxi,3,0,0
2020-01-23,China,Shandong,6,0,0
2020-01-23,China,Shanghai,16,0,0
2020-01-23,China,Shanxi,1,0,0
2020-01-23,China,Sichuan,8,0,0
2020-01-23,China,Tianjin,4,0,0
2020-01-23,China,Tibet,0,0,0
2020-01-23,China,Xinjiang,2,0,0
2020-01-23,China,Yunnan,2,0,0
2020-01-23,China,Zhejiang,27,0,0
2020-01-23,Colombia,,0,0,0
2020-01-23,Costa Rica,,0,0,0
2020-01-23,Cuba,,0,0,0
2020-01-23,Cyprus,,0,0,0
2020-01-23,Czechia,,0,0,0
2020-01-23,Germany,,0,0,0
2020-01-23,Denmark,Denmark,0,0,0
2020-01-23,Denmark,Faroe Islands,0,0,0
2020-01-23,Dominican Republic,,0,0,0
2020-01-23,Algeria,,0,0,0
2020-01-23,Ecuador,,0,0,0
2020-01-23,Estonia,,0,0,0
2020-01-23,Egypt,,0,0,0
2020-01-23,Spain,,0,0,0
2020-01-23,Ethiopia,,0,0,0
2020-01-23,Finland,,0,0,0
2020-01-23,France,France,0,0,0
2020-01-23,France,French Polynesia,0,0,0
2020-01-23,France,Saint Barthelemy,0,0,0
2020-01-23,France,St Martin,0,0,0
2020-01-23,Georgia,,0,0,0
2020-01-23,French Guiana,,0,0,0
2020-01-23,Guinea,,0,0,0
2020-01-23,Guadeloupe,,0,0,0
2020-01-23,Greece,,0,0,0
2020-01-23,Guyana,,0,0,0
2020-01-23,Honduras,,0,0,0
2020-01-23,Croatia,,0,0,0
2020-01-23,Hungary,,0,0,0
2020-01-23,Indonesia,,0,0,0
2020-01-23,Ireland,,0,0,0
2020-01-23,Israel,,0,0,0
2020-01-23,India,,0,0,0
2020-01-23,Iraq,,0,0,0
2020-01-23,Iran,,0,0,0
2020-01-23,Iceland,,0,0,0
2020-01-23,Italy,,0,0,0
2020-01-23,Jamaica,,0,0,0
2020-01-23,Jordan,,0,0,0
2020-01-23,Japan,,1,0,0
2020-01-23,Kenya,,0,0,0
2020-01-23,Cambodia,,0,0,0
2020-01-23,Korea,,1,0,0
2020-01-23,Kuwait,,0,0,0
2020-01-23,Cayman Islands,,0,0,0
2020-01-23,Kazakhstan,,0,0,0
2020-01-23,Lebanon,,0,0,0
2020-01-23,Liechtenstein,,0,0,0
2020-01-23,Sri Lanka,,0,0,0
2020-01-23,Lithuania,,0,0,0
2020-01-23,Luxembourg,,0,0,0
2020-01-23,Latvia,,0,0,0
2020-01-23,Morocco,,0,0,0
2020-01-23,Monaco,,0,0,0
2020-01-23,Moldova,,0,0,0
2020-01-23,North Macedonia,,0,0,0
2020-01-23,Mongolia,,0,0,0
2020-01-23,Martinique,,0,0,0
2020-01-23,Malta,,0,0,0
2020-01-23,Maldives,,0,0,0
2020-01-23,Mexico,,0,0,0
2020-01-23,Malaysia,,0,0,0
2020-01-23,Nigeria,,0,0,0
2020-01-23,Netherlands,,0,0,0
2020-01-23,Norway,,0,0,0
2020-01-23,Nepal,,0,0,0
2020-01-23,New Zealand,,0,0,0
2020-01-23,Oman,,0,0,0
2020-01-23,Panama,,0,0,0
2020-01-23,Peru,,0,0,0
2020-01-23,Philippines,,0,0,0
2020-01-23,Pakistan,,0,0,0
2020-01-23,Poland,,0,0,0
2020-01-23,Portugal,,0,0,0
2020-01-23,Paraguay,,0,0,0
2020-01-23,Qatar,,0,0,0
2020-01-23,Réunion,,0,0,0
2020-01-23,Romania,,0,0,0
2020-01-23,Serbia,,0,0,0
2020-01-23,Russian Federation,,0,0,0
2020-01-23,Saudi Arabia,,0,0,0
2020-01-23,Sudan,,0,0,0
2020-01-23,Sweden,,0,0,0
2020-01-23,Singapore,,1,0,0
2020-01-23,Slovenia,,0,0,0
2020-01-23,Slovakia,,0,0,0
2020-01-23,San Marino,,0,0,0
2020-01-23,Senegal,,0,0,0
2020-01-23,Togo,,0,0,0
2020-01-23,Thailand,,3,0,0
2020-01-23,Tunisia,,0,0,0
2020-01-23,Turkey,,0,0,0
2020-01-23,Taiwan,,1,0,0
2020-01-23,Ukraine,,0,0,0
2020-01-23,UK,Channel Islands,0,0,0
2020-01-23,UK,Gibraltar,0,0,0
2020-01-23,UK,United Kingdom,0,0,0
2020-01-23,United States of America,Alaska,0,0,0
2020-01-23,United States of America,Alabama,0,0,0
2020-01-23,United States of America,Arkansas,0,0,0
2020-01-23,United States of America,Arizona,0,0,0
2020-01-23,United States of America,California,0,0,0
2020-01-23,United States of America,Colorado,0,0,0
2020-01-23,United States of America,Connecticut,0,0,0
2020-01-23,United States of America,District of Columbia,0,0,0
2020-01-23,United States of America,Delaware,0,0,0
2020-01-23,United States of America,Diamond Princess,0,0,0
2020-01-23,United States of America,Florida,0,0,0
2020-01-23,United States of America,Georgia,0,0,0
2020-01-23,United States of America,Grand Princess,0,0,0
2020-01-23,United States of America,Hawaii,0,0,0
2020-01-23,United States of America,Iowa,0,0,0
2020-01-23,United States of America,Idaho,0,0,0
2020-01-23,United States of America,Illinois,0,0,0
2020-01-23,United States of America,Indiana,0,0,0
2020-01-23,United States of America,Kansas,0,0,0
2020-01-23,United States of America,Kentucky,0,0,0
2020-01-23,United States of America,Louisiana,0,0,0
2020-01-23,United States of America,Massachusetts,0,0,0
2020-01-23,United States of America,Maryland,0,0,0
2020-01-23,United States of America,Maine,0,0,0
2020-01-23,United States of America,Michigan,0,0,0
2020-01-23,United States of America,Minnesota,0,0,0
2020-01-23,United States of America,Missouri,0,0,0
2020-01-23,United States of America,Mississippi,0,0,0
2020-01-23,United States of America,Montana,0,0,0
2020-01-23,United States of America,North Carolina,0,0,0
2020-01-23,United States of America,North Dakota,0,0,0
2020-01-23,United States of America,Nebraska,0,0,0
2020-01-23,United States of America,New Hampshire,0,0,0
2020-01-23,United States of America,New Jersey,0,0,0
2020-01-23,United States of America,New Mexico,0,0,0
2020-01-23,United States of America,Nevada,0,0,0
2020-01-23,United States of America,New York,0,0,0
2020-01-23,United States of America,Ohio,0,0,0
2020-01-23,United States of America,Oklahoma,0,0,0
2020-01-23,United States of America,Oregon,0,0,0
2020-01-23,United States of America,OR ,0,0,0
2020-01-23,United States of America,Pennsylvania,0,0,0
2020-01-23,United States of America,Rhode Island,0,0,0
2020-01-23,United States of America,South Carolina,0,0,0
2020-01-23,United States of America,South Dakota,0,0,0
2020-01-23,United States of America,Tennessee,0,0,0
2020-01-23,United States of America,Texas,0,0,0
2020-01-23,United States of America,Utah,0,0,0
2020-01-23,United States of America,Virginia,0,0,0
2020-01-23,United States of America,Vermont,0,0,0
2020-01-23,United States of America,Washington,1,0,0
2020-01-23,United States of America,Wisconsin,0,0,0
2020-01-23,United States of America,West Virginia,0,0,0
2020-01-23,United States of America,Wyoming,0,0,0
2020-01-23,Holy See,,0,0,0
2020-01-23,Vietnam,,2,0,0
2020-01-23,South Africa,,0,0,0
2020-01-24,??,Diamond Princess,0,0,0
2020-01-24,Andorra,,0,0,0
2020-01-24,United Arab Emirates,,0,0,0
2020-01-24,Afghanistan,,0,0,0
2020-01-24,Antigua and Barbuda,,0,0,0
2020-01-24,Albania,,0,0,0
2020-01-24,Armenia,,0,0,0
2020-01-24,Argentina,,0,0,0
2020-01-24,Austria,,0,0,0
2020-01-24,Australia,Australian Capital Territory,0,0,0
2020-01-24,Australia,From Diamond Princess,0,0,0
2020-01-24,Australia,New South Wales,0,0,0
2020-01-24,Australia,Northern Territory,0,0,0
2020-01-24,Australia,Queensland,0,0,0
2020-01-24,Australia,South Australia,0,0,0
2020-01-24,Australia,Tasmania,0,0,0
2020-01-24,Australia,Victoria,0,0,0
2020-01-24,Australia,Western Australia,0,0,0
2020-01-24,Aruba,,0,0,0
2020-01-24,Azerbaijan,,0,0,0
2020-01-24,Bosnia and Herzegovina,,0,0,0
2020-01-24,Bangladesh,,0,0,0
2020-01-24,Belgium,,0,0,0
2020-01-24,Burkina Faso,,0,0,0
2020-01-24,Bulgaria,,0,0,0
2020-01-24,Bahrain,,0,0,0
2020-01-24,Brunei Darussalam,,0,0,0
2020-01-24,Bolivia,,0,0,0
2020-01-24,Brazil,,0,0,0
2020-01-24,Bhutan,,0,0,0
2020-01-24,Belarus,,0,0,0
2020-01-24,Canada,Alberta,0,0,0
2020-01-24,Canada,British Columbia,0,0,0
2020-01-24,Canada,Grand Princess,0,0,0
2020-01-24,Canada,Manitoba,0,0,0
2020-01-24,Canada,New Brunswick,0,0,0
2020-01-24,Canada,Ontario,0,0,0
2020-01-24,Canada,Quebec,0,0,0
2020-01-24,Canada,Saskatchewan,0,0,0
2020-01-24,Congo,,0,0,0
2020-01-24,Switzerland,,0,0,0
2020-01-24,Côte d'Ivoire,,0,0,0
2020-01-24,Chile,,0,0,0
2020-01-24,Cameroon,,0,0,0
2020-01-24,China,Anhui,15,0,0
2020-01-24,China,Beijing,36,0,1
2020-01-24,China,Chongqing,27,0,0
2020-01-24,China,Fujian,10,0,0
2020-01-24,China,Gansu,2,0,0
2020-01-24,China,Guangdong,53,0,2
2020-01-24,China,Guangxi,23,0,0
2020-01-24,China,Guizhou,3,0,0
2020-01-24,China,Hainan,8,0,0
2020-01-24,China,Hebei,2,1,0
2020-01-24,China,Heilongjiang,4,1,0
2020-01-24,China,Henan,9,0,0
2020-01-24,China,Hong Kong,2,0,0
2020-01-24,China,Hubei,549,24,31
2020-01-24,China,Hunan,24,0,0
2020-01-24,China,Inner Mongolia,1,0,0
2020-01-24,China,Jiangsu,9,0,0
2020-01-24,China,Jiangxi,18,0,0
2020-01-24,China,Jilin,3,0,0
2020-01-24,China,Liaoning,4,0,0
2020-01-24,China,Macau,2,0,0
2020-01-24,China,Ningxia,2,0,0
2020-01-24,China,Qinghai,0,0,0
2020-01-24,China,Shaanxi,5,0,0
2020-01-24,China,Shandong,15,0,0
2020-01-24,China,Shanghai,20,0,1
2020-01-24,China,Shanxi,1,0,0
2020-01-24,China,Sichuan,15,0,0
2020-01-24,China,Tianjin,8,0,0
2020-01-24,China,Tibet,0,0,0
2020-01-24,China,Xinjiang,2,0,0
2020-01-24,China,Yunnan,5,0,0
2020-01-24,China,Zhejiang,43,0,1
2020-01-24,Colombia,,0,0,0
2020-01-24,Costa Rica,,0,0,0
2020-01-24,Cuba,,0,0,0
2020-01-24,Cyprus,,0,0,0
2020-01-24,Czechia,,0,0,0
2020-01-24,Germany,,0,0,0
2020-01-24,Denmark,Denmark,0,0,0
2020-01-24,Denmark,Faroe Islands,0,0,0
2020-01-24,Dominican Republic,,0,0,0
2020-01-24,Algeria,,0,0,0
2020-01-24,Ecuador,,0,0,0
2020-01-24,Estonia,,0,0,0
2020-01-24,Egypt,,0,0,0
2020-01-24,Spain,,0,0,0
2020-01-24,Ethiopia,,0,0,0
2020-01-24,Finland,,0,0,0
2020-01-24,France,France,2,0,0
2020-01-24,France,French Polynesia,0,0,0
2020-01-24,France,Saint Barthelemy,0,0,0
2020-01-24,France,St Martin,0,0,0
2020-01-24,Georgia,,0,0,0
2020-01-24,French Guiana,,0,0,0
2020-01-24,Guinea,,0,0,0
2020-01-24,Guadeloupe,,0,0,0
2020-01-24,Greece,,0,0,0
2020-01-24,Guyana,,0,0,0
2020-01-24,Honduras,,0,0,0
2020-01-24,Croatia,,0,0,0
2020-01-24,Hungary,,0,0,0
