unnamed,current_intensive_care,current_hospitalized,key,date
28.02,0,1,IS,
29.02,0,1,IS,
1.03,0,1,IS,
2.03,0,0,IS,
3.03,0,0,IS,
4.03,0,0,IS,
5.03,0,1,IS,
6.03,0,1,IS,
7.03,0,1,IS,
8.03,0,1,IS,
9.03,0,1,IS,
10.03,0,0,IS,
11.03,0,1,IS,
12.03,0,2,IS,
13.03,0,2,IS,
14.03,1,3,IS,
15.03,2,3,IS,
16.03,2,4,IS,
17.03,2,5,IS,
18.03,0,6,IS,
19.03,1,6,IS,
20.03,1,10,IS,
21.03,1,12,IS,
22.03,0,13,IS,
23.03,2,13,IS,
24.03,2,17,IS,
25.03,3,18,IS,
26.03,6,20,IS,
27.03,6,20,IS,
28.03,7,26,IS,
29.03,10,30,IS,
30.03,11,37,IS,
31.03,13,40,IS,
1.04,14,43,IS,
2.04,12,44,IS,
3.04,11,41,IS,
4.04,11,37,IS,
5.04,11,36,IS,
6.04,13,38,IS,
7.04,12,43,IS,
8.04,11,40,IS,
9.04,11,38,IS,
10.04,10,38,IS,
11.04,9,40,IS,
12.04,9,40,IS,
13.04,8,35,IS,
14.04,8,31,IS,
15.04,6,33,IS,
16.04,3,30,IS,
17.04,5,27,IS,
18.04,5,28,IS,
19.04,5,27,IS,
20.04,5,21,IS,
21.04,5,18,IS,
22.04,5,15,IS,
23.04,5,15,IS,
24.04,3,14,IS,
25.04,3,14,IS,
26.04,2,13,IS,
27.04,1,10,IS,
28.04,0,8,IS,
29.04,0,6,IS,
30.04,0,5,IS,
1.05,0,6,IS,
2.05,0,6,IS,
3.05,0,5,IS,
4.05,0,3,IS,
5.05,0,3,IS,
6.05,0,3,IS,
7.05,0,2,IS,
8.05,0,2,IS,
9.05,0,2,IS,
10.05,0,2,IS,
11.05,0,2,IS,
12.05,0,1,IS,
13.05,0,1,IS,
14.05,0,0,IS,
15.05,0,0,IS,
16.05,0,0,IS,
17.05,0,0,IS,
18.05,0,0,IS,
19.05,0,0,IS,
20.05,0,0,IS,
21.05,0,0,IS,
22.05,0,0,IS,
23.05,0,0,IS,
24.05,0,0,IS,
25.05,0,0,IS,
26.05,0,0,IS,
27.05,0,0,IS,
28.05,0,0,IS,
29.05,0,0,IS,
30.05,0,0,IS,
31.05,0,0,IS,
1.06,0,0,IS,
2.06,0,0,IS,
3.06,0,0,IS,
4.06,0,0,IS,
5.06,0,0,IS,
6.06,0,0,IS,
7.06,0,0,IS,
8.06,0,0,IS,
9.06,0,0,IS,
10.06,0,0,IS,
11.06,0,0,IS,
12.06,0,0,IS,
13.06,0,0,IS,
14.06,0,0,IS,
15.06,0,0,IS,
