date,total_hospitalized,total_cumulative_intensive_care,key,new_cumulative_intensive_care,new_hospitalized
2020-03-16,84,6,IE,,
2020-03-17,108,7,IE,1,24
2020-03-18,140,12,IE,5,32
2020-03-19,173,13,IE,1,33
2020-03-20,211,17,IE,4,38
2020-03-21,239,25,IE,8,28
2020-03-22,277,36,IE,11,38
2020-03-23,305,39,IE,3,28
2020-03-24,340,47,IE,8,35
2020-03-25,419,59,IE,12,79
2020-03-26,489,67,IE,8,70
2020-03-27,564,77,IE,10,75
2020-03-28,645,84,IE,7,81
2020-03-29,703,113,IE,29,58
2020-03-30,834,126,IE,13,131
2020-03-31,932,134,IE,8,98
2020-04-01,1039,148,IE,14,107
2020-04-02,1118,158,IE,10,79
2020-04-03,1203,165,IE,7,85
2020-04-04,1265,169,IE,4,62
2020-04-05,1345,194,IE,25,80
2020-04-06,1472,224,IE,30,127
2020-04-07,1521,230,IE,6,49
2020-04-08,1631,233,IE,3,110
2020-04-09,1718,253,IE,20,87
2020-04-10,1777,261,IE,8,59
2020-04-11,1849,268,IE,7,72
2020-04-12,1903,276,IE,8,54
2020-04-13,1968,280,IE,4,65
2020-04-14,2026,284,IE,4,58
2020-04-15,2082,296,IE,12,56
2020-04-16,2168,296,IE,0,86
2020-04-17,2233,303,IE,7,65
2020-04-18,2272,306,IE,3,39
2020-04-19,2323,315,IE,9,51
2020-04-20,2387,322,IE,7,64
2020-04-21,2424,331,IE,9,37
2020-04-22,2486,338,IE,7,62
2020-04-23,2536,344,IE,6,50
2020-04-24,2576,349,IE,5,40
2020-04-25,2625,353,IE,4,49
2020-04-26,2638,356,IE,3,13
2020-04-27,2669,356,IE,0,31
2020-04-28,2709,360,IE,4,40
2020-04-29,2768,367,IE,7,59
2020-04-30,2785,368,IE,1,17
2020-05-01,2825,363,IE,-5,40
2020-05-02,2840,364,IE,1,15
2020-05-03,2879,369,IE,5,39
2020-05-04,2878,373,IE,4,-1
2020-05-05,2891,373,IE,0,13
2020-05-06,2915,373,IE,0,24
2020-05-07,2954,381,IE,8,39
2020-05-08,2986,383,IE,2,32
2020-05-09,2998,383,IE,0,12
2020-05-10,3031,386,IE,3,33
2020-05-11,3050,387,IE,1,19
2020-05-12,3053,387,IE,0,3
2020-05-13,3062,387,IE,0,9
2020-05-14,3092,389,IE,2,30
2020-05-15,3117,389,IE,0,25
2020-05-16,3127,390,IE,1,10
2020-05-17,3143,390,IE,0,16
