date,new_confirmed,new_deceased,total_confirmed,total_deceased,key
2020-03-02,1,0,1,0,AD
2020-03-13,1,0,2,0,AD
2020-03-15,3,0,5,0,AD
2020-03-16,9,0,14,0,AD
2020-03-17,0,0,14,0,AD
2020-03-18,39,0,53,0,AD
2020-03-19,22,0,75,0,AD
2020-03-20,0,0,75,0,AD
2020-03-21,13,0,88,0,AD
2020-03-22,25,0,113,0,AD
2020-03-23,20,0,133,0,AD
2020-03-24,31,0,164,0,AD
2020-03-25,24,0,188,0,AD
2020-03-26,36,3,224,3,AD
2020-03-27,43,0,267,3,AD
2020-03-28,41,1,308,4,AD
2020-03-29,26,2,334,6,AD
2020-03-30,36,2,370,8,AD
2020-03-31,6,4,376,12,AD
2020-04-01,14,2,390,14,AD
2020-04-02,38,1,428,15,AD
2020-04-03,11,1,439,16,AD
2020-04-04,27,1,466,17,AD
2020-04-05,35,1,501,18,AD
2020-04-06,25,3,526,21,AD
2020-04-07,19,1,545,22,AD
2020-04-08,19,1,564,23,AD
2020-04-09,19,2,583,25,AD
2020-04-10,18,1,601,26,AD
2020-04-11,21,2,622,28,AD
2020-04-12,16,1,638,29,AD
2020-04-13,8,0,646,29,AD
2020-04-14,13,2,659,31,AD
2020-04-15,14,2,673,33,AD
2020-04-16,9,0,682,33,AD
2020-04-17,14,2,696,35,AD
2020-04-18,8,0,704,35,AD
2020-04-19,9,1,713,36,AD
2020-04-20,4,0,717,36,AD
2020-04-21,0,1,717,37,AD
2020-04-22,6,0,723,37,AD
2020-04-23,1,0,724,37,AD
2020-04-24,7,3,731,40,AD
2020-04-25,2,0,733,40,AD
2020-04-26,7,0,740,40,AD
2020-04-27,3,0,743,40,AD
2020-04-28,0,1,743,41,AD
2020-04-29,0,1,743,42,AD
2020-04-30,2,0,745,42,AD
2020-05-01,1,1,746,43,AD
2020-05-02,1,1,747,44,AD
2020-05-03,1,1,748,45,AD
2020-05-04,2,0,750,45,AD
2020-05-05,1,1,751,46,AD
2020-05-06,0,0,751,46,AD
2020-05-07,1,1,752,47,AD
2020-05-08,0,0,752,47,AD
2020-05-09,2,1,754,48,AD
2020-05-10,1,0,755,48,AD
2020-05-11,1,0,756,48,AD
2020-05-12,2,0,758,48,AD
2020-05-13,2,1,760,49,AD
2020-05-14,1,0,761,49,AD
2020-05-15,0,0,761,49,AD
2020-05-16,0,2,761,51,AD
2020-05-17,0,0,761,51,AD
2020-05-18,0,0,761,51,AD
2020-05-19,0,0,761,51,AD
2020-05-20,1,0,762,51,AD
2020-05-21,0,0,762,51,AD
2020-05-22,0,0,762,51,AD
2020-05-23,0,0,762,51,AD
2020-05-24,1,0,763,51,AD
2020-05-25,0,0,763,51,AD
2020-05-26,0,0,763,51,AD
2020-05-27,0,0,763,51,AD
2020-05-28,0,0,763,51,AD
2020-05-29,1,0,764,51,AD
2020-05-30,0,0,764,51,AD
2020-05-31,0,0,764,51,AD
2020-06-01,1,0,765,51,AD
2020-06-02,79,0,844,51,AD
2020-06-03,7,0,851,51,AD
2020-06-04,1,0,852,51,AD
2020-06-05,0,0,852,51,AD
2020-06-06,0,0,852,51,AD
2020-06-07,0,0,852,51,AD
2020-06-08,0,0,852,51,AD
2020-06-09,0,0,852,51,AD
2020-06-10,0,0,852,51,AD
2020-06-11,0,0,852,51,AD
2020-06-12,1,0,853,51,AD
2020-06-13,0,0,853,51,AD
2020-06-14,0,0,853,51,AD
2020-06-15,0,0,853,51,AD
2020-06-16,1,1,854,52,AD
2020-06-17,0,0,854,52,AD
2020-06-18,1,0,855,52,AD
2020-06-19,0,0,855,52,AD
2020-06-20,0,0,855,52,AD
2020-06-21,0,0,855,52,AD
2020-06-22,0,0,855,52,AD
2020-06-23,0,0,855,52,AD
2020-06-24,0,0,855,52,AD
2020-06-25,0,0,855,52,AD
2020-06-26,0,0,855,52,AD
2019-12-30,0,0,0,0,AE
2019-12-31,0,0,0,0,AE
2020-01-01,0,0,0,0,AE
2020-01-02,0,0,0,0,AE
2020-01-03,0,0,0,0,AE
2020-01-04,0,0,0,0,AE
2020-01-05,0,0,0,0,AE
2020-01-06,0,0,0,0,AE
2020-01-07,0,0,0,0,AE
2020-01-08,0,0,0,0,AE
2020-01-09,0,0,0,0,AE
2020-01-10,0,0,0,0,AE
2020-01-11,0,0,0,0,AE
2020-01-12,0,0,0,0,AE
2020-01-13,0,0,0,0,AE
2020-01-14,0,0,0,0,AE
2020-01-15,0,0,0,0,AE
2020-01-16,0,0,0,0,AE
2020-01-17,0,0,0,0,AE
2020-01-18,0,0,0,0,AE
2020-01-19,0,0,0,0,AE
2020-01-20,0,0,0,0,AE
2020-01-21,0,0,0,0,AE
2020-01-22,0,0,0,0,AE
2020-01-23,0,0,0,0,AE
2020-01-24,0,0,0,0,AE
2020-01-25,0,0,0,0,AE
2020-01-26,1,0,1,0,AE
2020-01-27,0,0,1,0,AE
2020-01-28,0,0,1,0,AE
2020-01-29,3,0,4,0,AE
2020-01-30,0,0,4,0,AE
2020-01-31,0,0,4,0,AE
2020-02-01,1,0,5,0,AE
2020-02-02,0,0,5,0,AE
2020-02-03,0,0,5,0,AE
2020-02-04,0,0,5,0,AE
2020-02-05,0,0,5,0,AE
2020-02-06,0,0,5,0,AE
2020-02-07,2,0,7,0,AE
2020-02-08,0,0,7,0,AE
2020-02-09,0,0,7,0,AE
2020-02-10,1,0,8,0,AE
2020-02-11,0,0,8,0,AE
2020-02-12,0,0,8,0,AE
2020-02-13,0,0,8,0,AE
2020-02-14,0,0,8,0,AE
2020-02-15,0,0,8,0,AE
2020-02-16,1,0,9,0,AE
2020-02-17,0,0,9,0,AE
2020-02-18,0,0,9,0,AE
2020-02-19,0,0,9,0,AE
2020-02-20,0,0,9,0,AE
