date,current_hospitalized,current_intensive_care,total_discharged,key,new_discharged
2020-03-10,1,0,0,CZ,
2020-03-11,2,0,0,CZ,0
2020-03-12,4,0,0,CZ,0
2020-03-13,4,0,1,CZ,1
2020-03-14,5,0,1,CZ,0
2020-03-15,6,0,1,CZ,0
2020-03-16,19,2,4,CZ,3
2020-03-17,50,4,9,CZ,5
2020-03-18,49,5,10,CZ,1
2020-03-19,56,6,14,CZ,4
2020-03-20,67,16,19,CZ,5
2020-03-21,80,15,23,CZ,4
2020-03-22,98,19,33,CZ,10
2020-03-23,104,19,35,CZ,2
2020-03-24,122,21,43,CZ,8
2020-03-25,170,35,55,CZ,12
2020-03-26,197,36,61,CZ,6
2020-03-27,227,45,72,CZ,11
2020-03-28,263,56,83,CZ,11
2020-03-29,277,52,90,CZ,7
2020-03-30,291,64,101,CZ,11
2020-03-31,312,70,114,CZ,13
2020-04-01,342,72,136,CZ,22
2020-04-02,359,77,152,CZ,16
2020-04-03,380,87,173,CZ,21
2020-04-04,383,86,183,CZ,10
2020-04-05,391,84,188,CZ,5
2020-04-06,408,86,199,CZ,11
2020-04-07,432,103,219,CZ,20
2020-04-08,440,96,239,CZ,20
2020-04-09,446,98,263,CZ,24
2020-04-10,436,92,279,CZ,16
2020-04-11,442,87,299,CZ,20
2020-04-12,436,100,309,CZ,10
2020-04-13,428,92,318,CZ,9
2020-04-14,427,84,333,CZ,15
2020-04-15,418,75,367,CZ,34
2020-04-16,407,82,394,CZ,27
2020-04-17,398,86,418,CZ,24
2020-04-18,390,84,441,CZ,23
2020-04-19,374,84,451,CZ,10
2020-04-20,390,75,467,CZ,16
2020-04-21,412,80,489,CZ,22
2020-04-22,401,76,517,CZ,28
2020-04-23,395,77,546,CZ,29
2020-04-24,385,71,574,CZ,28
2020-04-25,352,79,583,CZ,9
2020-04-26,360,73,592,CZ,9
2020-04-27,359,71,609,CZ,17
2020-04-28,361,71,623,CZ,14
2020-04-29,348,68,643,CZ,20
2020-04-30,344,67,667,CZ,24
2020-05-01,319,68,688,CZ,21
2020-05-02,308,62,696,CZ,8
2020-05-03,299,58,698,CZ,2
2020-05-04,304,59,717,CZ,19
2020-05-05,295,51,744,CZ,27
2020-05-06,275,52,767,CZ,23
2020-05-07,258,46,779,CZ,12
2020-05-08,251,47,791,CZ,12
2020-05-09,239,40,798,CZ,7
2020-05-10,233,42,801,CZ,3
2020-05-11,236,44,810,CZ,9
2020-05-12,230,43,829,CZ,19
2020-05-13,217,42,850,CZ,21
2020-05-14,197,37,864,CZ,14
2020-05-15,183,39,873,CZ,9
2020-05-16,175,39,884,CZ,11
2020-05-17,166,36,888,CZ,4
2020-05-18,169,36,896,CZ,8
