date,current_hospitalized,current_intensive_care,current_ventilator,key
2020-04-07,305,93,37,AU
2020-04-08,263,87,36,AU
2020-04-09,262,81,36,AU
2020-04-10,236,72,38,AU
2020-04-11,240,80,38,AU
2020-04-12,239,81,35,AU
2020-04-13,227,79,46,AU
2020-04-14,230,80,44,AU
2020-04-15,214,76,41,AU
2020-04-16,201,66,38,AU
2020-04-17,192,60,38,AU
2020-04-18,184,55,34,AU
2020-04-19,177,48,33,AU
2020-04-20,170,49,32,AU
2020-04-21,167,47,33,AU
2020-04-22,162,47,31,AU
2020-04-23,152,45,29,AU
2020-04-24,138,42,29,AU
2020-04-25,129,43,29,AU
2020-04-26,115,42,25,AU
2020-04-27,113,43,27,AU
2020-04-28,109,42,27,AU
2020-04-29,93,38,26,AU
2020-04-30,89,34,22,AU
2020-05-01,83,28,21,AU
2020-05-02,79,28,21,AU
2020-05-03,75,28,20,AU
2020-05-04,70,28,20,AU
2020-05-05,66,27,20,AU
2020-05-06,62,27,18,AU
2020-05-07,58,23,17,AU
2020-05-08,56,21,16,AU
2020-05-09,51,19,15,AU
2020-05-10,43,17,14,AU
2020-05-11,49,16,14,AU
2020-05-12,47,16,15,AU
2020-05-13,50,17,14,AU
2020-05-14,51,18,13,AU
2020-05-15,46,17,13,AU
2020-05-16,49,16,12,AU
2020-05-17,50,16,12,AU
2020-05-18,45,12,17,AU
2020-05-19,47,11,7,AU
