date,new_intensive_care,key,total_intensive_care
,1,SE,1
,1,SE,2
,1,SE,3
,0,SE,3
,2,SE,5
,1,SE,6
,0,SE,6
,2,SE,8
,6,SE,14
,5,SE,19
,5,SE,24
,3,SE,27
,15,SE,42
,8,SE,50
,17,SE,67
,13,SE,80
,28,SE,108
,37,SE,145
,32,SE,177
,31,SE,208
,40,SE,248
,29,SE,277
,28,SE,305
,41,SE,346
,30,SE,376
,34,SE,410
,48,SE,458
,47,SE,505
,39,SE,544
,36,SE,580
,45,SE,625
,43,SE,668
,44,SE,712
,48,SE,760
,36,SE,796
,36,SE,832
,45,SE,877
,35,SE,912
,43,SE,955
,41,SE,996
,32,SE,1028
,33,SE,1061
,40,SE,1101
,29,SE,1130
,34,SE,1164
,27,SE,1191
,34,SE,1225
,49,SE,1274
,27,SE,1301
,46,SE,1347
,28,SE,1375
,26,SE,1401
,27,SE,1428
,33,SE,1461
,25,SE,1486
,33,SE,1519
,15,SE,1534
,30,SE,1564
,25,SE,1589
,25,SE,1614
,20,SE,1634
,27,SE,1661
,28,SE,1689
,25,SE,1714
,14,SE,1728
,17,SE,1745
,15,SE,1760
,16,SE,1776
,19,SE,1795
,15,SE,1810
,20,SE,1830
,18,SE,1848
,20,SE,1868
,24,SE,1892
,13,SE,1905
,14,SE,1919
,13,SE,1932
,15,SE,1947
,16,SE,1963
,16,SE,1979
,28,SE,2007
,14,SE,2021
,15,SE,2036
,19,SE,2055
,13,SE,2068
,20,SE,2088
,12,SE,2100
,20,SE,2120
,15,SE,2135
,17,SE,2152
,16,SE,2168
,16,SE,2184
,19,SE,2203
,14,SE,2217
,16,SE,2233
,13,SE,2246
,10,SE,2256
,11,SE,2267
,9,SE,2276
,12,SE,2288
,9,SE,2297
,0,SE,2297
