date,total_confirmed,total_deceased,new_confirmed,new_deceased,key
2020-03-12,1,0,,,US_AK
2020-03-13,1,0,0,0,US_AK
2020-03-14,1,0,0,0,US_AK
2020-03-15,1,0,0,0,US_AK
2020-03-16,3,0,2,0,US_AK
2020-03-17,6,0,3,0,US_AK
2020-03-18,9,0,3,0,US_AK
2020-03-19,12,0,3,0,US_AK
2020-03-20,14,0,2,0,US_AK
2020-03-21,21,0,7,0,US_AK
2020-03-22,22,0,1,0,US_AK
2020-03-23,36,0,14,0,US_AK
2020-03-24,42,0,6,0,US_AK
2020-03-25,59,0,17,0,US_AK
2020-03-26,69,0,10,0,US_AK
2020-03-27,85,1,16,1,US_AK
2020-03-28,102,1,17,0,US_AK
2020-03-29,114,2,12,1,US_AK
2020-03-30,120,2,6,0,US_AK
2020-03-31,133,2,13,0,US_AK
2020-04-01,143,2,10,0,US_AK
2020-04-02,146,2,3,0,US_AK
2020-04-03,156,2,10,0,US_AK
2020-04-04,169,3,13,1,US_AK
2020-04-05,183,4,14,1,US_AK
2020-04-06,189,4,6,0,US_AK
2020-04-07,211,4,22,0,US_AK
2020-04-08,224,5,13,1,US_AK
2020-04-09,233,5,9,0,US_AK
2020-04-10,244,5,11,0,US_AK
2020-04-11,255,6,11,1,US_AK
2020-04-12,270,6,15,0,US_AK
2020-04-13,275,6,5,0,US_AK
2020-04-14,283,7,8,1,US_AK
2020-04-15,291,7,8,0,US_AK
2020-04-16,298,7,7,0,US_AK
2020-04-17,307,7,9,0,US_AK
2020-04-18,312,7,5,0,US_AK
2020-04-19,317,7,5,0,US_AK
2020-04-20,319,7,2,0,US_AK
2020-04-21,327,7,8,0,US_AK
2020-04-22,333,7,6,0,US_AK
2020-04-23,335,7,2,0,US_AK
2020-04-24,337,7,2,0,US_AK
2020-04-25,337,7,0,0,US_AK
2020-04-26,339,7,2,0,US_AK
2020-04-27,343,7,4,0,US_AK
2020-04-28,349,7,6,0,US_AK
2020-04-29,353,7,4,0,US_AK
2020-04-30,353,7,0,0,US_AK
2020-05-01,362,7,9,0,US_AK
2020-05-02,363,7,1,0,US_AK
2020-05-03,366,7,3,0,US_AK
2020-05-04,368,7,2,0,US_AK
2020-05-05,369,7,1,0,US_AK
2020-05-06,370,8,1,1,US_AK
2020-05-07,373,8,3,0,US_AK
2020-05-08,376,8,3,0,US_AK
2020-05-09,377,8,1,0,US_AK
2020-05-10,378,8,1,0,US_AK
2020-05-11,380,8,2,0,US_AK
2020-05-12,383,8,3,0,US_AK
2020-05-13,383,8,0,0,US_AK
2020-05-14,387,8,4,0,US_AK
2020-05-15,388,8,1,0,US_AK
2020-05-16,392,8,4,0,US_AK
2020-05-17,396,8,4,0,US_AK
2020-05-18,399,8,3,0,US_AK
2020-05-19,399,8,0,0,US_AK
2020-05-20,402,8,3,0,US_AK
2020-05-21,402,8,0,0,US_AK
2020-05-22,404,8,2,0,US_AK
2020-05-23,409,8,5,0,US_AK
2020-05-24,409,8,0,0,US_AK
2020-05-25,412,8,3,0,US_AK
2020-05-26,416,8,4,0,US_AK
2020-05-27,417,8,1,0,US_AK
2020-05-28,430,8,13,0,US_AK
2020-05-29,436,8,6,0,US_AK
2020-05-30,441,8,5,0,US_AK
2020-05-31,469,8,28,0,US_AK
2020-06-01,476,8,7,0,US_AK
2020-06-02,497,8,21,0,US_AK
2020-06-03,516,8,19,0,US_AK
2020-06-04,542,8,26,0,US_AK
2020-06-05,565,8,23,0,US_AK
2020-06-06,579,8,14,0,US_AK
2020-06-07,588,8,9,0,US_AK
2020-06-08,607,8,19,0,US_AK
2020-06-09,620,9,13,1,US_AK
2020-06-10,642,9,22,0,US_AK
2020-06-11,666,9,24,0,US_AK
2020-06-12,688,10,22,1,US_AK
2020-06-13,722,10,34,0,US_AK
2020-06-14,734,10,12,0,US_AK
2020-06-15,738,10,4,0,US_AK
2020-06-16,751,10,13,0,US_AK
2020-06-17,776,10,25,0,US_AK
2020-06-18,795,10,19,0,US_AK
2020-06-19,821,10,26,0,US_AK
2020-06-20,845,10,24,0,US_AK
2020-06-21,859,10,14,0,US_AK
2020-06-22,869,10,10,0,US_AK
2020-06-23,905,10,36,0,US_AK
2020-06-24,926,10,21,0,US_AK
2020-06-25,971,10,45,0,US_AK
2020-06-26,1001,12,30,2,US_AK
2020-03-13,6,0,,,US_AL
2020-03-14,12,0,6,0,US_AL
2020-03-15,23,0,11,0,US_AL
2020-03-16,29,0,6,0,US_AL
2020-03-17,39,0,10,0,US_AL
2020-03-18,51,0,12,0,US_AL
2020-03-19,78,0,27,0,US_AL
2020-03-20,106,0,28,0,US_AL
2020-03-21,131,0,25,0,US_AL
2020-03-22,157,0,26,0,US_AL
2020-03-23,196,0,39,0,US_AL
2020-03-24,242,0,46,0,US_AL
2020-03-25,386,1,144,1,US_AL
2020-03-26,538,3,152,2,US_AL
2020-03-27,639,4,101,1,US_AL
2020-03-28,720,4,81,0,US_AL
2020-03-29,830,5,110,1,US_AL
2020-03-30,947,11,117,6,US_AL
2020-03-31,999,14,52,3,US_AL
2020-04-01,1108,28,109,14,US_AL
2020-04-02,1270,32,162,4,US_AL
2020-04-03,1535,38,265,6,US_AL
2020-04-04,1632,44,97,6,US_AL
2020-04-05,1840,45,208,1,US_AL
2020-04-06,2005,53,165,8,US_AL
2020-04-07,2197,64,192,11,US_AL
2020-04-08,2498,67,301,3,US_AL
2020-04-09,2838,78,340,11,US_AL
2020-04-10,3008,80,170,2,US_AL
2020-04-11,3262,93,254,13,US_AL
2020-04-12,3583,93,321,0,US_AL
2020-04-13,3805,104,222,11,US_AL
2020-04-14,3953,114,148,10,US_AL
2020-04-15,4241,123,288,9,US_AL
2020-04-16,4404,137,163,14,US_AL
2020-04-17,4572,151,168,14,US_AL
2020-04-18,4723,147,151,-4,US_AL
2020-04-19,4903,160,180,13,US_AL
2020-04-20,5078,164,175,4,US_AL
2020-04-21,5327,186,249,22,US_AL
2020-04-22,5610,201,283,15,US_AL
2020-04-23,5832,197,222,-4,US_AL
2020-04-24,6026,209,194,12,US_AL
2020-04-25,6213,213,187,4,US_AL
2020-04-26,6421,219,208,6,US_AL
2020-04-27,6539,228,118,9,US_AL
2020-04-28,6750,242,211,14,US_AL
2020-04-29,6925,262,175,20,US_AL
2020-04-30,7068,272,143,10,US_AL
2020-05-01,7294,289,226,17,US_AL
2020-05-02,7611,288,317,-1,US_AL
2020-05-03,7888,290,277,2,US_AL
2020-05-04,8112,298,224,8,US_AL
2020-05-05,8437,315,325,17,US_AL
2020-05-06,8691,343,254,28,US_AL
2020-05-07,9046,369,355,26,US_AL
2020-05-08,9385,383,339,14,US_AL
2020-05-09,9668,390,283,7,US_AL
2020-05-10,9889,393,221,3,US_AL
2020-05-11,10164,403,275,10,US_AL
2020-05-12,10464,435,300,32,US_AL
2020-05-13,10700,450,236,15,US_AL
2020-05-14,11101,473,401,23,US_AL
2020-05-15,11373,483,272,10,US_AL
2020-05-16,11674,485,301,2,US_AL
2020-05-17,11771,488,97,3,US_AL
2020-05-18,12086,489,315,1,US_AL
2020-05-19,12376,504,290,15,US_AL
2020-05-20,13052,522,676,18,US_AL
2020-05-21,13414,529,362,7,US_AL
2020-05-22,13670,541,256,12,US_AL
2020-05-23,14149,549,479,8,US_AL
2020-05-24,14478,551,329,2,US_AL
2020-05-25,14986,566,508,15,US_AL
2020-05-26,15650,580,664,14,US_AL
2020-05-27,16032,583,382,3,US_AL
2020-05-28,16530,591,498,8,US_AL
2020-05-29,17031,610,501,19,US_AL
2020-05-30,17359,618,328,8,US_AL
2020-05-31,17952,630,593,12,US_AL
2020-06-01,18534,646,582,16,US_AL
2020-06-02,18771,653,237,7,US_AL
2020-06-03,18851,653,80,0,US_AL
2020-06-04,19072,653,221,0,US_AL
2020-06-05,19387,676,315,23,US_AL
2020-06-06,20043,689,656,13,US_AL
2020-06-07,20500,692,457,3,US_AL
2020-06-08,20925,718,425,26,US_AL
2020-06-09,21422,729,497,11,US_AL
2020-06-10,21989,744,567,15,US_AL
2020-06-11,22845,755,856,11,US_AL
2020-06-12,23710,769,865,14,US_AL
