"Date","Cumulative total","New hospital admissions"
"06.03.2020",1,1
"07.03.2020",1,0
"08.03.2020",2,1
"09.03.2020",5,3
"10.03.2020",11,6
"11.03.2020",16,5
"12.03.2020",19,3
"13.03.2020",26,7
"14.03.2020",34,8
"15.03.2020",41,7
"16.03.2020",58,17
"17.03.2020",70,12
"18.03.2020",92,22
"19.03.2020",124,32
"20.03.2020",150,26
"21.03.2020",173,23
"22.03.2020",198,25
"23.03.2020",233,35
"24.03.2020",274,41
"25.03.2020",329,55
"26.03.2020",369,40
"27.03.2020",404,35
"28.03.2020",433,29
"29.03.2020",457,24
"30.03.2020",488,31
"31.03.2020",524,36
"01.04.2020",548,24
"02.04.2020",584,36
"03.04.2020",605,21
"04.04.2020",630,25
"05.04.2020",644,14
"06.04.2020",662,18
"07.04.2020",676,14
"08.04.2020",699,23
"09.04.2020",707,8
"10.04.2020",714,7
"11.04.2020",724,10
"12.04.2020",733,9
"13.04.2020",742,9
"14.04.2020",752,10
"15.04.2020",764,12
"16.04.2020",768,4
"17.04.2020",782,14
"18.04.2020",791,9
"19.04.2020",796,5
"20.04.2020",801,5
"21.04.2020",805,4
"22.04.2020",813,8
"23.04.2020",817,4
"24.04.2020",825,8
"25.04.2020",828,3
"26.04.2020",833,5
"27.04.2020",834,1
"28.04.2020",840,6
"29.04.2020",840,0
"30.04.2020",841,1
"01.05.2020",843,2
"02.05.2020",845,2
"03.05.2020",846,1
"04.05.2020",848,2
"05.05.2020",851,3
"06.05.2020",855,4
"07.05.2020",856,1
"08.05.2020",858,2
"09.05.2020",859,1
"10.05.2020",860,1
"11.05.2020",862,2
"12.05.2020",865,3
"13.05.2020",867,2
"14.05.2020",869,2
"15.05.2020",869,0
"16.05.2020",869,0
"17.05.2020",869,0
"18.05.2020",872,3
"19.05.2020",873,1
"20.05.2020",874,1
"21.05.2020",876,2
"22.05.2020",877,1
"23.05.2020",877,0
"24.05.2020",877,0
"25.05.2020",877,0
"26.05.2020",877,0
"27.05.2020",880,3
"28.05.2020",882,2
"29.05.2020",882,0
"30.05.2020",882,0
"31.05.2020",883,1
"01.06.2020",884,1
"02.06.2020",884,0
"03.06.2020",884,0
"04.06.2020",884,0
"05.06.2020",885,1
"06.06.2020",885,0
"07.06.2020",885,0
"08.06.2020",886,1
"09.06.2020",887,1
"10.06.2020",887,0
"11.06.2020",887,0
"12.06.2020",887,0
"13.06.2020",887,0
"14.06.2020",887,0
