"","Number in ICU","Number hospitalised"
"28.02","0","1"
"29.02","0","1"
"01.03","0","1"
"02.03","0","0"
"03.03","0","0"
"04.03","0","0"
"05.03","0","1"
"06.03","0","1"
"07.03","0","1"
"08.03","0","1"
"09.03","0","1"
"10.03","0","0"
"11.03","0","1"
"12.03","0","2"
"13.03","0","2"
"14.03","1","3"
"15.03","2","3"
"16.03","2","4"
"17.03","2","5"
"18.03","0","6"
"19.03","1","6"
"20.03","1","10"
"21.03","1","12"
"22.03","0","13"
"23.03","2","13"
"24.03","2","17"
"25.03","3","18"
"26.03","6","20"
"27.03","6","20"
"28.03","7","26"
"29.03","10","30"
"30.03","11","37"
"31.03","13","40"
"01.04","14","43"
"02.04","12","44"
"03.04","11","41"
"04.04","11","37"
"05.04","11","36"
"06.04","13","38"
"07.04","12","43"
"08.04","11","40"
"09.04","11","38"
"10.04","10","38"
"11.04","9","40"
"12.04","9","40"
"13.04","8","35"
"14.04","8","31"
"15.04","6","33"
"16.04","3","30"
"17.04","5","27"
"18.04","5","28"
"19.04","5","27"
"20.04","5","21"
"21.04","5","18"
"22.04","5","15"
"23.04","5","15"
"24.04","3","14"
"25.04","3","14"
"26.04","2","13"
"27.04","1","10"
"28.04","0","8"
"29.04","0","6"
"30.04","0","5"
"01.05","0","6"
"02.05","0","6"
"03.05","0","5"
"04.05","0","3"
"05.05","0","3"
"06.05","0","3"
"07.05","0","2"
"08.05","0","2"
"09.05","0","2"
"10.05","0","2"
"11.05","0","2"
"12.05","0","1"
"13.05","0","1"
"14.05","0","0"
"15.05","0","0"
"16.05","0","0"
"17.05","0","0"
"18.05","0","0"
"19.05","0","0"
"20.05","0","0"
"21.05","0","0"
"22.05","0","0"
"23.05","0","0"
"24.05","0","0"
"25.05","0","0"
"26.05","0","0"
"27.05","0","0"
"28.05","0","0"
"29.05","0","0"
"30.05","0","0"
"31.05","0","0"
"01.06","0","0"
"02.06","0","0"
"03.06","0","0"
"04.06","0","0"
"05.06","0","0"
"06.06","0","0"
"07.06","0","0"
"08.06","0","0"
"09.06","0","0"
"10.06","0","0"
"11.06","0","0"
"12.06","0","0"
"13.06","0","0"
"14.06","0","0"
"15.06","0","0"
