Province,Cases,Deaths,Recoveries,Active Cases,Date
#adm1+name,#affected+infected+cases,#affected+infected+deaths,#affected+infected+recoveries,#affected+infected+active,#date
Badakhshan Province ,190,5,43,142,2020-06-23
Badghis Province ,364,4,141,219,2020-06-23
Baghlan Province ,539,17,170,352,2020-06-23
Balkh Province ,"1,596",52,492,"1,052",2020-06-23
Bamyan Province,366,7,70,289,2020-06-23
Daykundi Province,105,1,21,83,2020-06-23
Farah Province,242,2,22,218,2020-06-23
Faryab Province,193,13,110,70,2020-06-23
Ghazni Province ,408,27,138,243,2020-06-23
Ghor Province,116,1,70,45,2020-06-23
Helmand Province ,160,17,94,49,2020-06-23
Herat Province,"4,572",113,"1,589","2,870",2020-06-23
Jowzjan Province,196,6,83,107,2020-06-23
Kabul Province ,"12,185",147,"3,883","8,155",2020-06-23
Kandahar Province ,"1,231",20,195,"1,016",2020-06-23
Kapisa Province,144,2,22,120,2020-06-23
Khost Province,340,17,45,278,2020-06-23
Kunar Province ,364,15,120,229,2020-06-23
Kunduz Province ,404,7,65,332,2020-06-23
Laghman Province ,324,4,101,219,2020-06-23
Logar Province ,445,15,113,317,2020-06-23
Nangarhar Province ,"1,307",45,284,978,2020-06-23
Nimruz Province ,326,6,162,158,2020-06-23
Nuristan Province,66,0,12,54,2020-06-23
Paktia Province ,942,16,150,776,2020-06-23
Paktika Province ,168,2,130,36,2020-06-23
Panjshir Province ,245,10,104,131,2020-06-23
Parwan Province ,329,10,86,233,2020-06-23
Samangan Province ,304,9,222,73,2020-06-23
Sar-e Pol Province,130,2,70,58,2020-06-23
Takhar Province ,752,14,168,570,2020-06-23
Urozgan Province ,38,5,9,24,2020-06-23
Wardak Province,267,10,182,75,2020-06-23
Zabul Province ,109,4,56,49,2020-06-23
Badakhshan Province,139,0,3,,2020-06-16
Badghis Province,331,3,50,,2020-06-16
Baghlan Province,450,16,134,,2020-06-16
Balkh Province,"1,493",46,279,,2020-06-16
Bamyan Province,212,4,64,,2020-06-16
Daykundi Province,62,1,21,,2020-06-16
Farah Province,218,2,22,,2020-06-16
Faryab Province,189,10,21,,2020-06-16
Ghazni Province,356,20,62,,2020-06-16
Ghor Province,108,1,45,,2020-06-16
Helmand Province,138,12,80,,2020-06-16
Herat Province,"4,304",89,719,,2020-06-16
Jowzjan Province,196,6,20,,2020-06-16
Kabul Province,"10,732",106,"2,238",,2020-06-16
Kandahar Province,"1,092",18,165,,2020-06-16
Kapisa Province,124,0,57,,2020-06-16
Khost Province,272,8,18,,2020-06-16
Kunar Province,332,15,87,,2020-06-16
Kunduz Province,309,7,65,,2020-06-16
Laghman Province,314,4,101,,2020-06-16
Logar Province,414,9,65,,2020-06-16
Nangarhar Province,"1,275",38,59,,2020-06-16
Nimruz Province,305,6,98,,2020-06-16
Nuristan Province,47,0,4,,2020-06-16
Paktia Province,849,14,144,,2020-06-16
Paktika Province,137,2,22,,2020-06-16
Panjshir Province,225,10,104,,2020-06-16
Parwan Province,311,10,85,,2020-06-16
Samangan Province,298,7,132,,2020-06-16
Sar-e Pol Province,130,2,12,,2020-06-16
Takhar Province,596,10,140,,2020-06-16
Urozgan Province,32,5,9,,2020-06-16
Wardak Province,236,7,123,,2020-06-16
Zabul Province,84,2,44,,2020-06-16
Badakhshan Province,67,0,3,,2020-06-14
Badghis Province,331,3,50,,2020-06-14
Baghlan Province,402,16,116,,2020-06-14
