"Date","Cumulative intensive total","New intensive care admissions"
"06.03.2020",0,0
"07.03.2020",0,0
"08.03.2020",0,0
"09.03.2020",0,0
"10.03.2020",3,3
"11.03.2020",5,2
"12.03.2020",6,1
"13.03.2020",7,1
"14.03.2020",8,1
"15.03.2020",11,3
"16.03.2020",17,6
"17.03.2020",21,4
"18.03.2020",26,5
"19.03.2020",33,7
"20.03.2020",43,10
"21.03.2020",49,6
"22.03.2020",57,8
"23.03.2020",68,11
"24.03.2020",82,14
"25.03.2020",98,16
"26.03.2020",108,10
"27.03.2020",120,12
"28.03.2020",127,7
"29.03.2020",133,6
"30.03.2020",142,9
"31.03.2020",149,7
"01.04.2020",153,4
"02.04.2020",157,4
"03.04.2020",162,5
"04.04.2020",165,3
"05.04.2020",169,4
"06.04.2020",170,1
"07.04.2020",172,2
"08.04.2020",174,2
"09.04.2020",176,2
"10.04.2020",178,2
"11.04.2020",180,2
"12.04.2020",181,1
"13.04.2020",181,0
"14.04.2020",183,2
"15.04.2020",187,4
"16.04.2020",190,3
"17.04.2020",191,1
"18.04.2020",193,2
"19.04.2020",196,3
"20.04.2020",196,0
"21.04.2020",197,1
"22.04.2020",200,3
"23.04.2020",203,3
"24.04.2020",205,2
"25.04.2020",206,1
"26.04.2020",207,1
"27.04.2020",208,1
"28.04.2020",209,1
"29.04.2020",209,0
"30.04.2020",209,0
"01.05.2020",210,1
"02.05.2020",210,0
"03.05.2020",210,0
"04.05.2020",210,0
"05.05.2020",211,1
"06.05.2020",212,1
"07.05.2020",212,0
"08.05.2020",212,0
"09.05.2020",212,0
"10.05.2020",213,1
"11.05.2020",213,0
"12.05.2020",213,0
"13.05.2020",213,0
"14.05.2020",213,0
"15.05.2020",214,1
"16.05.2020",214,0
"17.05.2020",214,0
"18.05.2020",214,0
"19.05.2020",214,0
"20.05.2020",214,0
"21.05.2020",214,0
"22.05.2020",215,1
"23.05.2020",215,0
"24.05.2020",215,0
"25.05.2020",215,0
"26.05.2020",215,0
"27.05.2020",215,0
"28.05.2020",215,0
"29.05.2020",216,1
"30.05.2020",216,0
"31.05.2020",216,0
"01.06.2020",216,0
"02.06.2020",217,1
"03.06.2020",217,0
"04.06.2020",217,0
"05.06.2020",217,0
"06.06.2020",217,0
"07.06.2020",217,0
"08.06.2020",217,0
"09.06.2020",217,0
"10.06.2020",217,0
"11.06.2020",219,2
"12.06.2020",219,0
"13.06.2020",219,0
"14.06.2020",219,0
