dep;jour;incid_hosp;incid_rea;incid_dc;incid_rad
01;2020-03-19;1;0;0;0
01;2020-03-20;0;0;0;1
01;2020-03-21;4;0;0;0
01;2020-03-22;3;1;0;1
01;2020-03-23;14;1;0;5
01;2020-03-24;11;1;0;4
01;2020-03-25;13;2;0;5
01;2020-03-26;14;3;2;2
01;2020-03-27;14;2;0;0
01;2020-03-28;7;3;1;3
01;2020-03-29;10;2;3;3
01;2020-03-30;20;7;4;1
01;2020-03-31;20;0;1;10
01;2020-04-01;38;14;2;10
01;2020-04-02;32;6;2;19
01;2020-04-03;15;4;3;13
01;2020-04-04;24;8;5;9
01;2020-04-05;12;4;2;3
01;2020-04-06;10;2;1;6
01;2020-04-07;15;3;2;5
01;2020-04-08;19;8;4;9
01;2020-04-09;12;3;4;8
01;2020-04-10;17;2;5;8
01;2020-04-11;7;3;2;15
01;2020-04-12;4;2;0;4
01;2020-04-13;12;1;2;3
01;2020-04-14;14;1;2;5
01;2020-04-15;35;0;6;28
01;2020-04-16;16;1;0;3
01;2020-04-17;9;2;3;9
01;2020-04-18;31;3;5;4
01;2020-04-19;3;1;0;1
01;2020-04-20;4;2;2;3
01;2020-04-21;12;3;2;11
01;2020-04-22;13;1;4;15
01;2020-04-23;10;0;4;9
01;2020-04-24;6;0;1;5
01;2020-04-25;4;0;2;5
01;2020-04-26;4;0;0;1
01;2020-04-27;4;0;0;7
01;2020-04-28;4;0;3;4
01;2020-04-29;14;0;1;11
01;2020-04-30;9;2;1;8
01;2020-05-01;4;0;1;5
01;2020-05-02;1;1;0;0
01;2020-05-03;1;0;0;0
01;2020-05-04;2;0;0;2
01;2020-05-05;7;2;4;12
01;2020-05-06;8;0;0;14
01;2020-05-07;1;0;0;7
01;2020-05-08;1;0;0;2
01;2020-05-09;1;0;1;2
01;2020-05-10;3;0;0;1
01;2020-05-11;6;2;2;6
01;2020-05-12;4;1;0;2
01;2020-05-13;6;0;0;4
01;2020-05-14;4;0;0;4
01;2020-05-15;4;0;1;5
01;2020-05-16;1;0;1;2
01;2020-05-17;1;0;0;1
01;2020-05-18;1;0;0;5
01;2020-05-19;5;0;2;13
01;2020-05-20;2;0;0;6
01;2020-05-21;0;0;1;4
01;2020-05-22;0;0;1;1
01;2020-05-23;4;0;1;5
01;2020-05-24;0;0;0;0
01;2020-05-25;1;0;0;1
01;2020-05-26;3;0;0;10
01;2020-05-27;0;0;0;1
01;2020-05-28;0;1;0;6
01;2020-05-29;0;0;0;0
01;2020-05-30;2;0;0;9
01;2020-05-31;0;0;0;0
01;2020-06-01;0;0;0;0
01;2020-06-02;1;0;0;2
02;2020-03-19;38;8;10;15
02;2020-03-20;10;3;3;9
02;2020-03-21;30;4;1;9
02;2020-03-22;13;1;3;8
02;2020-03-23;27;1;2;5
02;2020-03-24;46;4;3;23
02;2020-03-25;15;5;1;8
02;2020-03-26;22;3;2;10
02;2020-03-27;16;3;1;5
02;2020-03-28;26;2;4;13
02;2020-03-29;4;1;1;1
02;2020-03-30;9;4;2;3
02;2020-03-31;58;6;7;41
02;2020-04-01;41;4;8;13
02;2020-04-02;58;1;8;27
02;2020-04-03;58;4;18;16
02;2020-04-04;42;4;10;19
02;2020-04-05;7;0;6;2
02;2020-04-06;14;1;6;7
02;2020-04-07;66;2;9;31
02;2020-04-08;23;5;4;13
02;2020-04-09;39;4;9;20
02;2020-04-10;32;7;8;14
02;2020-04-11;25;0;4;22
02;2020-04-12;9;1;2;2
02;2020-04-13;9;0;5;1
02;2020-04-14;9;1;5;16
02;2020-04-15;28;4;3;25
02;2020-04-16;13;1;4;14
02;2020-04-17;18;1;6;12
02;2020-04-18;13;0;3;10
02;2020-04-19;8;1;1;1
02;2020-04-20;107;7;6;70
02;2020-04-21;93;1;13;90
02;2020-04-22;29;1;5;39
02;2020-04-23;24;1;1;20
02;2020-04-24;25;1;3;14
02;2020-04-25;10;0;4;12
02;2020-04-26;12;0;3;0
02;2020-04-27;4;0;2;8
02;2020-04-28;29;4;5;20
02;2020-04-29;15;4;5;18
02;2020-04-30;16;1;1;16
02;2020-05-01;6;0;2;11
02;2020-05-02;7;0;0;3
02;2020-05-03;1;0;4;0
02;2020-05-04;12;0;5;8
02;2020-05-05;20;0;3;25
02;2020-05-06;20;1;1;18
02;2020-05-07;29;4;2;45
02;2020-05-08;21;2;2;28
02;2020-05-09;0;0;1;0
02;2020-05-10;2;0;2;1
02;2020-05-11;14;3;4;9
02;2020-05-12;7;0;4;21
02;2020-05-13;13;0;3;25
02;2020-05-14;12;1;0;33
02;2020-05-15;5;0;2;7
02;2020-05-16;12;0;2;5
02;2020-05-17;3;0;3;0
02;2020-05-18;10;0;1;5
02;2020-05-19;3;1;0;7
02;2020-05-20;6;0;2;6
02;2020-05-21;1;0;0;4
02;2020-05-22;2;0;0;4
02;2020-05-23;1;0;3;2
02;2020-05-24;1;0;0;0
02;2020-05-25;5;0;2;16
02;2020-05-26;19;2;1;7
02;2020-05-27;2;0;1;10
02;2020-05-28;7;2;2;5
02;2020-05-29;6;1;2;7
02;2020-05-30;3;0;0;2
02;2020-05-31;0;0;1;0
02;2020-06-01;0;0;1;1
