date,hospitalized_cumulative,icu_cumulative
2020-03-16,84,6
2020-03-17,108,7
2020-03-18,140,12
2020-03-19,173,13
2020-03-20,211,17
2020-03-21,239,25
2020-03-22,277,36
2020-03-23,305,39
2020-03-24,340,47
2020-03-25,419,59
2020-03-26,489,67
2020-03-27,564,77
2020-03-28,645,84
2020-03-29,703,113
2020-03-30,834,126
2020-03-31,932,134
2020-04-01,1039,148
2020-04-02,1118,158
2020-04-03,1203,165
2020-04-04,1265,169
2020-04-05,1345,194
2020-04-06,1472,224
2020-04-07,1521,230
2020-04-08,1631,233
2020-04-09,1718,253
2020-04-10,1777,261
2020-04-11,1849,268
2020-04-12,1903,276
2020-04-13,1968,280
2020-04-14,2026,284
2020-04-15,2082,296
2020-04-16,2168,296
2020-04-17,2233,303
2020-04-18,2272,306
2020-04-19,2323,315
2020-04-20,2387,322
2020-04-21,2424,331
2020-04-22,2486,338
2020-04-23,2536,344
2020-04-24,2576,349
2020-04-25,2625,353
2020-04-26,2638,356
2020-04-27,2669,356
2020-04-28,2709,360
2020-04-29,2768,367
2020-04-30,2785,368
2020-05-01,2825,363
2020-05-02,2840,364
2020-05-03,2879,369
2020-05-04,2878,373
2020-05-05,2891,373
2020-05-06,2915,373
2020-05-07,2954,381
2020-05-08,2986,383
2020-05-09,2998,383
2020-05-10,3031,386
2020-05-11,3050,387
2020-05-12,3053,387
2020-05-13,3062,387
2020-05-14,3092,389
2020-05-15,3117,389
2020-05-16,3127,390
2020-05-17,3143,390
