pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
35,Ontario,Ontario,31-01-2020,3,0,0,3,,,,,3,300.00,0.02,0.000,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0,1,,,,,1,100.00,0.02,0.000,0,0.00,,,100.00
1,Canada,Canada,31-01-2020,4,0,0,4,,,,,4,400.00,0.01,0.000,0,0.00,,,100.00
35,Ontario,Ontario,08-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.000,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0,4,,,,,3,300.00,0.08,0.000,0,0.00,,,100.00
1,Canada,Canada,08-02-2020,7,0,0,7,,,,,3,75.00,0.02,0.000,0,0.00,,,100.00
35,Ontario,Ontario,16-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.000,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0,5,,,,,1,25.00,0.10,0.000,0,0.00,,,100.00
1,Canada,Canada,16-02-2020,8,0,0,8,,,,,1,14.29,0.02,0.000,0,0.00,,,100.00
35,Ontario,Ontario,21-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.000,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0,6,,,,,1,20.00,0.12,0.000,0,0.00,,,100.00
1,Canada,Canada,21-02-2020,9,0,0,9,,,,,1,12.50,0.02,0.000,0,0.00,,,100.00
35,Ontario,Ontario,24-02-2020,4,0,0,4,,,,,1,33.33,0.03,0.000,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,0,6,,,,,0,0.00,0.12,0.000,0,0.00,,,100.00
1,Canada,Canada,24-02-2020,10,0,0,10,,,,,1,11.11,0.03,0.000,0,0.00,,,100.00
35,Ontario,Ontario,25-02-2020,4,0,0,4,,,,,0,0.00,0.03,0.000,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,0,7,,,,,1,16.67,0.14,0.000,0,0.00,,,100.00
1,Canada,Canada,25-02-2020,11,0,0,11,,,,,1,10.00,0.03,0.000,0,0.00,,,100.00
35,Ontario,Ontario,26-02-2020,5,0,0,5,,,,,1,25.00,0.03,0.000,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0,7,,,,,0,0.00,0.14,0.000,0,0.00,,,100.00
1,Canada,Canada,26-02-2020,12,0,0,12,,,,,1,9.09,0.03,0.000,0,0.00,,,100.00
35,Ontario,Ontario,27-02-2020,6,0,0,6,,,,,1,20.00,0.04,0.000,0,0.00,,,100.00
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0,7,,,,,0,0.00,0.14,0.000,0,0.00,,,100.00
