Date,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Guadeloupe,Martinique,Guyane,La Réunion,Mayotte,Total
19/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
23/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26/02/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
27/02/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
28/02/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
29/02/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
01/03/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
02/03/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
03/03/2020,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4
04/03/2020,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4
05/03/2020,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,7
06/03/2020,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,9
07/03/2020,0,0,1,0,0,2,6,4,1,0,0,0,0,0,0,0,0,0,16
08/03/2020,1,0,1,0,0,3,6,4,1,0,0,0,0,0,0,0,0,0,19
09/03/2020,3,0,1,0,1,4,15,4,1,0,0,0,1,0,0,0,0,0,30
10/03/2020,3,0,1,0,1,5,16,4,1,0,0,0,1,0,0,0,0,0,33
11/03/2020,3,0,1,0,1,9,,4,1,0,0,0,1,0,0,0,0,0,48
12/03/2020,7,5,3,0,3,,20,4,1,0,0,0,1,0,0,0,0,0,61
13/03/2020,10,5,3,0,5,21,26,7,1,0,0,0,1,0,0,0,0,0,79
14/03/2020,12,6,3,0,5,24,29,7,1,0,0,0,1,0,0,0,0,0,91
15/03/2020,18,6,3,0,5,45,,7,1,2,1,0,1,0,0,0,0,0,127
16/03/2020,20,6,3,0,5,51,39,7,1,2,3,0,1,0,0,0,0,0,148
17/03/2020,24,10,3,1,5,61,46,7,1,2,5,1,4,0,0,0,0,0,175
18/03/2020,27,20,7,1,5,120,55,36,3,2,10,2,7,0,1,0,0,0,244
19/03/2020,39,23,10,1,5,148,69,56,5,3,17,3,9,0,1,0,0,0,372
20/03/2020,39,28,12,1,5,183,81,99,7,3,23,3,11,1,1,0,0,0,450
21/03/2020,57,36,15,2,5,209,91,122,7,7,27,3,13,1,1,0,0,0,562
22/03/2020,72,51,17,3,6,252,97,140,9,8,30,4,15,1,1,0,0,0,674
23/03/2020,85,62,22,8,11,335,108,193,10,13,32,10,20,1,1,0,0,0,860
24/03/2020,86,86,25,8,12,407,123,262,16,14,40,14,26,1,1,0,0,0,1100
25/03/2020,104,102,28,13,15,506,137,357,19,25,45,17,33,1,1,0,0,0,1331
26/03/2020,134,123,29,20,19,584,150,460,20,34,54,31,44,1,1,0,0,0,1696
27/03/2020,165,139,34,26,19,657,169,578,24,42,61,31,48,1,1,0,0,0,1995
28/03/2020,195,148,37,35,19,753,196,688,26,50,68,42,55,1,1,0,0,0,2314
29/03/2020,227,164,41,39,19,815,211,807,32,58,76,47,65,2,3,0,0,0,2606
30/03/2020,264,187,45,53,19,919,242,954,42,72,82,58,80,4,3,0,0,0,3024
31/03/2020,295,214,50,71,20,1015,280,1176,62,78,91,71,103,5,3,0,0,0,3523
01/04/2020,349,230,55,77,21,1126,330,1369,69,82,108,82,124,7,3,0,0,0,4032
02/04/2020,404,271,63,84,23,1178,370,1571,81,94,119,92,141,7,3,0,0,2,4503
03/04/2020,448,303,69,98,26,1311,438,1791,93,100,131,109,161,8,3,0,0,2,6507
04/04/2020,478,323,75,106,26,1402,488,1967,99,111,148,118,178,8,3,0,0,2,6838
05/04/2020,508,341,81,115,26,1471,520,2107,111,120,158,123,195,8,3,0,0,2,8078
06/04/2020,555,367,88,132,30,1574,577,2355,127,138,172,134,231,8,4,0,0,2,8911
07/04/2020,600,396,97,140,32,1674,635,2627,147,152,180,144,253,8,4,0,0,2,10328
08/04/2020,654,412,107,154,32,1781,679,2850,165,165,195,153,269,10,4,0,0,2,10869
09/04/2020,685,427,109,164,34,1854,715,3040,179,173,203,158,286,10,5,0,0,2,12210
10/04/2020,721,459,121,179,35,1952,762,3300,188,174,222,169,299,10,5,0,0,2,13197
11/04/2020,755,478,129,193,36,2008,806,3416,196,180,233,178,317,10,5,0,0,3,13832
12/04/2020,773,500,132,201,36,2064,840,3548,201,190,239,182,328,10,6,0,0,3,14393
13/04/2020,794,512,136,214,38,2105,873,3704,211,194,248,192,348,10,6,0,0,3,14967
14/04/2020,836,551,149,227,38,2166,920,3937,230,207,266,209,374,10,6,0,0,3,15729
15/04/2020,885,581,159,245,41,2249,975,4140,242,214,278,222,393,10,6,0,0,3,17167
16/04/2020,927,607,166,252,41,2306,1006,4319,252,220,281,235,421,10,6,0,0,4,17920
17/04/2020,954,623,171,264,42,2358,1054,4510,262,233,290,242,447,10,6,0,0,4,18681
18/04/2020,992,644,181,276,42,2422,1077,4664,267,241,292,251,463,11,7,0,0,4,19323
19/04/2020,1011,657,185,284,44,2463,1094,4756,274,247,295,258,470,11,7,0,0,5,19718
20/04/2020,1062,677,189,298,47,2515,1127,4942,283,259,312,268,499,12,9,0,0,6,20265
21/04/2020,1103,705,193,308,48,2564,1163,5094,292,266,322,276,526,12,13,1,0,6,20796
22/04/2020,1133,721,193,328,49,2612,1198,5219,299,267,328,285,561,12,13,1,0,6,21340
23/04/2020,1167,753,199,334,49,2646,1233,5330,307,277,342,291,575,12,14,1,0,6,21856
24/04/2020,1192,770,199,343,49,2679,1257,5452,312,285,356,303,610,13,14,1,0,6,22245
25/04/2020,1212,786,202,348,50,2714,1281,5516,314,289,361,307,625,13,14,1,0,6,22603
26/04/2020,1226,797,203,355,50,2737,1291,5578,319,294,362,314,631,13,14,1,0,6,22856
27/04/2020,1255,814,204,367,50,2779,1315,5690,324,301,373,323,656,14,14,1,0,6,23293
28/04/2020,1275,819,207,370,50,2799,1330,5787,331,302,380,326,665,14,14,1,0,6,23660
29/04/2020,1311,832,210,383,50,2863,1355,5938,343,313,390,336,682,14,14,1,0,6,24087
30/04/2020,1331,838,212,388,50,2885,1374,6008,346,324,401,341,696,16,14,1,0,6,24376
01/05/2020,1346,843,212,395,50,2915,1390,6047,347,324,394,343,704,17,14,1,0,8,24594
02/05/2020,1355,850,216,397,50,2937,1396,6085,350,327,409,348,708,17,14,1,0,8,24760
03/05/2020,1364,856,219,401,51,2953,1410,6116,351,329,410,351,713,17,14,1,0,8,24895
04/05/2020,1386,869,222,411,51,2983,1428,6208,359,336,424,357,732,17,14,1,0,9,25201
05/05/2020,1419,884,222,421,51,3011,1461,6285,363,336,436,362,746,18,14,1,0,11,25531
06/05/2020,1437,896,223,429,52,3037,1480,6347,365,342,441,368,756,18,14,1,0,13,25809
