Governorate,Cases,Deaths,Recoveries,Active Cases,Date
#adm1+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active,#date
ANBAR,150,8,17,125,2020-06-14
BABYLON,569,18,90,461,2020-06-14
BAGHDAD-KARKH,3602,81,1563,1958,2020-06-14
BAGHDAD-RESAFA and MIDICAL CITY,6315,282,2973,3060,2020-06-14
BASRAH,1624,30,925,669,2020-06-14
DAHUK,133,0,58,75,2020-06-14
DIWANIYA,373,6,53,314,2020-06-14
DIYALA,328,20,113,195,2020-06-14
ERBIL,619,4,292,323,2020-06-14
KERBALA,677,19,340,318,2020-06-14
KIRKUK,378,11,156,211,2020-06-14
MISSAN,767,25,137,605,2020-06-14
MUTHANNA,288,13,155,120,2020-06-14
NAJAF,971,12,412,547,2020-06-14
NINEWA,84,0,51,33,2020-06-14
SALAH AL-DIN,135,2,18,115,2020-06-14
SULAYMANIYAH,1349,38,290,1021,2020-06-14
THI-QAR,790,17,326,447,2020-06-14
WASSIT,1057,21,152,884,2020-06-14
ANBAR,41,5,2,34,2020-06-07
BABYLON,360,45,9,306,2020-06-07
BAGHDAD-KARKH,2164,923,37,1204,2020-06-07
BAGHDAD-RESAFA and MIDICAL CITY,4482,1864,180,2438,2020-06-07
BASRAH,1309,764,23,522,2020-06-07
DAHUK,100,26,0,74,2020-06-07
DIWANIYA,135,26,3,106,2020-06-07
DIYALA,108,65,10,33,2020-06-07
ERBIL,372,233,4,135,2020-06-07
KERBALA,429,187,11,231,2020-06-07
KIRKUK,176,72,6,98,2020-06-07
MISSAN,320,70,9,241,2020-06-07
MUTHANNA,253,116,8,129,2020-06-07
NAJAF,506,337,9,160,2020-06-07
NINEWA,56,37,0,19,2020-06-07
SALAH AL-DIN,55,18,0,37,2020-06-07
SULAYMANIYAH,750,189,20,541,2020-06-07
THI-QAR,375,149,5,221,2020-06-07
WASSIT,375,60,10,305,2020-06-07
ANBAR,12,5,1,6,2020-06-04
BABYLON,191,43,8,140,2020-06-04
BAGHDAD-KARKH,1617,763,28,826,2020-06-04
BAGHDAD-RESAFA and MIDICAL CITY,3231,1329,144,1758,2020-06-04
BASRAH,943,708,21,214,2020-06-04
DAHUK,91,26,0,65,2020-06-04
DIWANIYA,54,22,1,31,2020-06-04
DIYALA,97,50,8,39,2020-06-04
ERBIL,292,230,3,59,2020-06-04
KERBALA,336,186,10,140,2020-06-04
KIRKUK,132,72,3,57,2020-06-04
MISSAN,253,50,8,195,2020-06-04
MUTHANNA,213,112,6,95,2020-06-04
NAJAF,410,320,6,84,2020-06-04
ANBAR,6,5,1,0,2020-06-02
BABYLON,131,41,5,85,2020-06-02
BAGHDAD-KARKH,1282,447,24,811,2020-06-02
BAGHDAD-RESAFA and MIDICAL CITY,2415,811,115,1489,2020-06-02
BASRAH,849,681,19,149,2020-06-02
DAHUK,33,19,0,14,2020-06-02
