date,hospitalized_current,icu_current,ventilator_current
2020-03-16,62,10,
2020-03-17,82,18,
2020-03-18,129,24,
2020-03-19,153,30,
2020-03-20,186,37,
2020-03-21,206,42,
2020-03-22,232,46,
2020-03-23,254,55,
2020-03-24,301,69,
2020-03-25,350,87,
2020-03-26,386,94,
2020-03-27,430,109,
2020-03-28,459,121,
2020-03-29,499,131,
2020-03-30,533,137,
2020-03-31,529,145,
2020-04-01,535,146,
2020-04-02,531,146,
2020-04-03,516,139,
2020-04-04,503,138,
2020-04-05,498,138,
2020-04-06,497,133,
2020-04-07,472,127,
2020-04-08,453,127,
2020-04-09,433,120,
2020-04-10,401,113,
2020-04-11,408,106,
2020-04-12,396,104,
2020-04-13,388,100,
2020-04-14,380,93,
2020-04-15,362,89,
2020-04-16,353,92,
2020-04-17,350,93,
2020-04-18,317,87,
2020-04-19,319,84,
2020-04-20,336,84,
2020-04-21,335,81,
2020-04-22,324,80,
2020-04-23,319,74,
2020-04-24,320,69,
2020-04-25,290,70,
2020-04-26,285,70,
2020-04-27,310,72,
2020-04-28,284,66,
2020-04-29,267,66,
2020-04-30,255,62,
2020-05-01,249,61,
2020-05-02,232,60,
2020-05-03,243,62,
2020-05-04,252,57,
2020-05-05,228,49,39.0
2020-05-06,209,46,41.0
2020-05-07,199,43,39.0
2020-05-08,205,42,35.0
2020-05-09,194,39,32.0
2020-05-10,196,40,33.0
2020-05-11,198,43,33.0
2020-05-12,177,43,32.0
2020-05-13,164,37,32.0
2020-05-14,147,35,28.0
2020-05-15,137,32,26.0
2020-05-16,140,28,22.0
2020-05-17,133,27,21.0
2020-05-18,144,26,21.0
2020-05-19,141,25,18.0
