dep;jour;incid_hosp;incid_rea;incid_dc;incid_rad
01;2020-03-19;0;0;0;0
01;2020-03-20;0;0;0;0
01;2020-03-21;4;0;0;0
01;2020-03-22;3;1;0;1
01;2020-03-23;13;1;0;5
01;2020-03-24;10;1;0;4
01;2020-03-25;11;2;0;5
01;2020-03-26;12;2;2;2
01;2020-03-27;15;3;0;0
01;2020-03-28;6;3;1;3
01;2020-03-29;8;1;3;3
01;2020-03-30;18;6;4;1
01;2020-03-31;19;0;1;10
01;2020-04-01;33;13;2;10
01;2020-04-02;33;7;2;19
01;2020-04-03;12;3;3;13
01;2020-04-04;23;8;5;9
01;2020-04-05;8;4;2;3
01;2020-04-06;10;2;1;6
01;2020-04-07;12;3;2;5
01;2020-04-08;17;7;4;9
01;2020-04-09;12;3;4;7
01;2020-04-10;15;2;5;8
01;2020-04-11;5;3;2;14
01;2020-04-12;4;2;0;4
02;2020-03-19;37;8;10;15
02;2020-03-20;10;3;3;9
02;2020-03-21;30;4;1;9
02;2020-03-22;13;1;3;8
02;2020-03-23;27;1;2;5
02;2020-03-24;46;4;3;23
02;2020-03-25;15;5;1;8
02;2020-03-26;23;3;2;10
02;2020-03-27;16;3;1;5
02;2020-03-28;25;2;4;13
02;2020-03-29;5;0;1;1
02;2020-03-30;7;3;2;3
02;2020-03-31;58;6;7;41
02;2020-04-01;41;4;8;13
02;2020-04-02;56;1;8;27
02;2020-04-03;57;4;18;16
02;2020-04-04;42;4;10;19
02;2020-04-05;6;0;6;2
02;2020-04-06;12;0;6;7
02;2020-04-07;69;4;9;31
02;2020-04-08;22;4;4;12
02;2020-04-09;39;4;9;20
02;2020-04-10;33;7;8;14
02;2020-04-11;25;0;4;22
02;2020-04-12;8;1;2;2
03;2020-03-19;3;1;0;6
03;2020-03-20;4;0;0;3
03;2020-03-21;5;0;0;1
03;2020-03-22;2;0;0;2
03;2020-03-23;12;1;1;4
03;2020-03-24;2;0;0;0
03;2020-03-25;6;2;0;4
03;2020-03-26;11;1;1;6
03;2020-03-27;6;2;2;1
03;2020-03-28;9;1;0;4
03;2020-03-29;3;3;0;1
03;2020-03-30;14;4;0;6
03;2020-03-31;5;2;1;3
03;2020-04-01;9;1;0;7
03;2020-04-02;5;3;1;6
03;2020-04-03;6;1;1;1
03;2020-04-04;6;0;0;2
03;2020-04-05;6;4;1;4
03;2020-04-06;6;1;0;2
03;2020-04-07;5;0;0;4
