pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal
11,Prince Edward Island,Île-du-Prince-Édouard,11-05-2020,27,0,0,27,3910,27,100.00,24913,0,0.00,17.203
60,Yukon,Yukon,11-05-2020,11,0,0,11,1088,11,100.00,26631,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,11-05-2020,5,0,0,5,1809,5,100.00,40356,0,0.00,11.154
62,Nunavut,Nunavut,11-05-2020,0,0,0,0,576,0,N/A,14853,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,11-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,11-05-2020,69970,11,4993,69981,1121629,32994,47.15,29839,1133,1.65,186.173
59,British Columbia,Colombie-Britannique,12-05-2020,2360,0,131,2360,95558,1832,77.63,18843,7,0.30,46.536
48,Alberta,Alberta,12-05-2020,6345,0,118,6345,178208,4866,76.69,40768,45,0.71,145.151
47,Saskatchewan,Saskatchewan,12-05-2020,573,0,6,573,34801,374,65.27,29631,5,0.88,48.788
46,Manitoba,Manitoba,12-05-2020,279,11,7,290,30799,251,86.55,22490,1,0.35,21.176
35,Ontario,Ontario,12-05-2020,20907,0,1725,20907,444882,15391,73.62,30541,361,1.76,143.527
24,Quebec,Québec,12-05-2020,39225,0,3131,39225,290888,10056,25.64,34283,756,1.97,462.288
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-05-2020,261,0,3,261,10043,247,94.64,19256,0,0.00,50.044
13,New Brunswick,Nouveau-Brunswick,12-05-2020,120,0,0,120,17339,118,98.33,22320,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,12-05-2020,1020,0,48,1020,35430,864,84.71,36473,1,0.10,105.004
11,Prince Edward Island,Île-du-Prince-Édouard,12-05-2020,27,0,0,27,4029,27,100.00,25671,0,0.00,17.203
60,Yukon,Yukon,12-05-2020,11,0,0,11,1094,11,100.00,26778,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,12-05-2020,5,0,0,5,1817,5,100.00,40535,0,0.00,11.154
62,Nunavut,Nunavut,12-05-2020,0,0,0,0,604,0,N/A,15575,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,12-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,12-05-2020,71146,11,5169,71157,1145568,34042,47.84,30476,1176,1.68,189.301
59,British Columbia,Colombie-Britannique,13-05-2020,2376,0,132,2376,97060,1859,78.24,19139,16,0.68,46.852
48,Alberta,Alberta,13-05-2020,6407,0,120,6407,181624,5076,79.23,41549,62,0.98,146.569
47,Saskatchewan,Saskatchewan,13-05-2020,577,0,6,577,35189,385,66.72,29962,4,0.70,49.129
46,Manitoba,Manitoba,13-05-2020,279,11,7,290,31416,251,86.55,22940,0,0.00,21.176
35,Ontario,Ontario,13-05-2020,21236,0,1765,21236,459524,15845,74.61,31547,329,1.57,145.786
24,Quebec,Québec,13-05-2020,39931,0,3220,39931,296528,10470,26.22,34947,706,1.80,470.609
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-05-2020,261,0,3,261,10149,247,94.64,19460,0,0.00,50.044
13,New Brunswick,Nouveau-Brunswick,13-05-2020,120,0,0,120,17765,118,98.33,22869,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,13-05-2020,1024,0,51,1024,35811,870,84.96,36866,4,0.39,105.415
11,Prince Edward Island,Île-du-Prince-Édouard,13-05-2020,27,0,0,27,4199,27,100.00,26754,0,0.00,17.203
60,Yukon,Yukon,13-05-2020,11,0,0,11,1106,11,100.00,27072,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,13-05-2020,5,0,0,5,1817,5,100.00,40535,0,0.00,11.154
62,Nunavut,Nunavut,13-05-2020,0,0,0,0,608,0,N/A,15678,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,13-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,13-05-2020,72267,11,5304,72278,1172872,35164,48.65,31202,1121,1.58,192.284
59,British Columbia,Colombie-Britannique,14-05-2020,2392,0,135,2392,98747,1885,78.80,19472,16,0.67,47.167
48,Alberta,Alberta,14-05-2020,6457,0,121,6457,185545,5205,80.61,42446,50,0.78,147.713
47,Saskatchewan,Saskatchewan,14-05-2020,582,0,6,582,35664,398,68.38,30366,5,0.87,49.555
46,Manitoba,Manitoba,14-05-2020,278,11,7,289,31742,252,87.20,23178,-1,-0.34,21.103
35,Ontario,Ontario,14-05-2020,21581,0,1798,21581,476383,16204,75.08,32704,345,1.62,148.155
24,Quebec,Québec,14-05-2020,40724,0,3351,40724,302929,10829,26.59,35702,793,1.99,479.955
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-05-2020,261,0,3,261,10275,248,95.02,19701,0,0.00,50.044
13,New Brunswick,Nouveau-Brunswick,14-05-2020,120,0,0,120,18172,118,98.33,23393,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,14-05-2020,1026,0,51,1026,36192,909,88.60,37258,2,0.20,105.621
11,Prince Edward Island,Île-du-Prince-Édouard,14-05-2020,27,0,0,27,4306,27,100.00,27436,0,0.00,17.203
60,Yukon,Yukon,14-05-2020,11,0,0,11,1112,11,100.00,27219,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,14-05-2020,5,0,0,5,1828,5,100.00,40780,0,0.00,11.154
62,Nunavut,Nunavut,14-05-2020,0,0,0,0,617,0,N/A,15910,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,14-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,14-05-2020,73477,11,5472,73488,1203588,36091,49.11,32019,1210,1.67,195.503
59,British Columbia,Colombie-Britannique,15-05-2020,2407,0,140,2407,100289,1908,79.27,19776,15,0.63,47.463
48,Alberta,Alberta,15-05-2020,6515,0,125,6515,189225,5317,81.61,43288,58,0.90,149.040
47,Saskatchewan,Saskatchewan,15-05-2020,590,0,6,590,36086,408,69.15,30726,8,1.37,50.236
46,Manitoba,Manitoba,15-05-2020,278,11,7,289,32492,254,87.89,23726,0,0.00,21.103
35,Ontario,Ontario,15-05-2020,21922,0,1825,21922,494136,16641,75.91,33923,341,1.58,150.496
24,Quebec,Québec,15-05-2020,41420,0,3401,41420,310868,11039,26.65,36638,696,1.71,488.158
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-05-2020,260,0,3,260,10343,248,95.38,19832,-1,-0.38,49.852
13,New Brunswick,Nouveau-Brunswick,15-05-2020,120,0,0,120,18587,119,99.17,23927,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,15-05-2020,1034,0,55,1034,36587,918,88.78,37664,8,0.78,106.445
11,Prince Edward Island,Île-du-Prince-Édouard,15-05-2020,27,0,0,27,4469,27,100.00,28475,0,0.00,17.203
60,Yukon,Yukon,15-05-2020,11,0,0,11,1119,11,100.00,27390,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,15-05-2020,5,0,0,5,1841,5,100.00,41070,0,0.00,11.154
62,Nunavut,Nunavut,15-05-2020,0,0,0,0,628,0,N/A,16194,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,15-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,15-05-2020,74602,11,5562,74613,1236746,36895,49.45,32902,1125,1.53,198.496
59,British Columbia,Colombie-Britannique,16-05-2020,2428,0,141,2428,101886,1932,79.57,20091,21,0.87,47.877
48,Alberta,Alberta,16-05-2020,6587,0,126,6587,193098,5377,81.63,44174,72,1.11,150.687
47,Saskatchewan,Saskatchewan,16-05-2020,591,0,6,591,36817,433,73.27,31348,1,0.17,50.321
46,Manitoba,Manitoba,16-05-2020,278,11,7,289,33295,257,88.93,24312,0,0.00,21.103
35,Ontario,Ontario,16-05-2020,22313,0,1858,22313,511323,17020,76.28,35103,391,1.78,153.180
24,Quebec,Québec,16-05-2020,42183,0,3483,42183,319472,11458,27.16,37652,763,1.84,497.150
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-05-2020,260,0,3,260,10524,249,95.77,20179,0,0.00,49.852
13,New Brunswick,Nouveau-Brunswick,16-05-2020,120,0,0,120,18775,120,100.00,24169,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,16-05-2020,1037,0,55,1037,36916,930,89.68,38003,3,0.29,106.754
11,Prince Edward Island,Île-du-Prince-Édouard,16-05-2020,27,0,0,27,4469,27,100.00,28475,0,0.00,17.203
60,Yukon,Yukon,16-05-2020,11,0,0,11,1124,11,100.00,27513,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,16-05-2020,5,0,0,5,1851,5,100.00,41293,0,0.00,11.154
62,Nunavut,Nunavut,16-05-2020,0,0,0,0,628,0,N/A,16194,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,16-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,16-05-2020,75853,11,5679,75864,1270254,37819,49.85,33793,1251,1.68,201.824
59,British Columbia,Colombie-Britannique,17-05-2020,2428,0,141,2428,103026,1932,79.57,20315,0,0.00,47.877
48,Alberta,Alberta,17-05-2020,6644,0,127,6644,196309,5453,82.07,44908,57,0.87,151.991
47,Saskatchewan,Saskatchewan,17-05-2020,592,0,6,592,37403,444,75.00,31847,1,0.17,50.406
46,Manitoba,Manitoba,17-05-2020,278,11,7,289,34042,257,88.93,24858,0,0.00,21.103
35,Ontario,Ontario,17-05-2020,22653,0,1881,22653,527010,17360,76.63,36179,340,1.52,155.514
24,Quebec,Québec,17-05-2020,42920,0,3562,42920,327782,11754,27.39,38631,737,1.75,505.836
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-05-2020,260,0,3,260,10622,249,95.77,20367,0,0.00,49.852
13,New Brunswick,Nouveau-Brunswick,17-05-2020,120,0,0,120,19010,120,100.00,24471,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,17-05-2020,1040,0,55,1040,37183,938,90.19,38278,3,0.29,107.063
11,Prince Edward Island,Île-du-Prince-Édouard,17-05-2020,27,0,0,27,4619,27,100.00,29430,0,0.00,17.203
60,Yukon,Yukon,17-05-2020,11,0,0,11,1124,11,100.00,27513,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,17-05-2020,5,0,0,5,1865,5,100.00,41605,0,0.00,11.154
62,Nunavut,Nunavut,17-05-2020,0,0,0,0,658,0,N/A,16968,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,17-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,17-05-2020,76991,11,5782,77002,1300729,38550,50.06,34604,1138,1.50,204.851
59,British Columbia,Colombie-Britannique,18-05-2020,2444,0,143,2444,105078,1966,80.44,20720,16,0.66,48.192
48,Alberta,Alberta,18-05-2020,6683,0,128,6683,199237,5519,82.58,45578,39,0.59,152.883
47,Saskatchewan,Saskatchewan,18-05-2020,592,0,6,592,37697,455,76.86,32097,0,0.00,50.406
46,Manitoba,Manitoba,18-05-2020,279,11,7,290,34498,257,88.62,25191,1,0.35,21.176
35,Ontario,Ontario,18-05-2020,22957,0,1904,22957,535866,17638,76.83,36787,304,1.34,157.601
24,Quebec,Québec,18-05-2020,43627,0,3596,43627,335232,12045,27.61,39509,707,1.65,514.168
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-05-2020,260,0,3,260,10673,249,95.77,20464,0,0.00,49.852
13,New Brunswick,Nouveau-Brunswick,18-05-2020,120,0,0,120,19260,120,100.00,24793,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,18-05-2020,1043,0,55,1043,37406,946,90.70,38508,3,0.29,107.371
11,Prince Edward Island,Île-du-Prince-Édouard,18-05-2020,27,0,0,27,4761,27,100.00,30335,0,0.00,17.203
60,Yukon,Yukon,18-05-2020,11,0,0,11,1124,11,100.00,27513,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,18-05-2020,5,0,0,5,1879,5,100.00,41918,0,0.00,11.154
62,Nunavut,Nunavut,18-05-2020,0,0,0,0,660,0,N/A,17019,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,18-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,18-05-2020,78061,11,5842,78072,1323447,39238,50.26,35208,1070,1.39,207.698
59,British Columbia,Colombie-Britannique,19-05-2020,2446,0,146,2446,106824,1975,80.74,21064,2,0.08,48.232
48,Alberta,Alberta,19-05-2020,6716,0,128,6716,201283,5584,83.14,46046,33,0.49,153.638
47,Saskatchewan,Saskatchewan,19-05-2020,599,0,6,599,38064,470,78.46,32410,7,1.18,51.002
46,Manitoba,Manitoba,19-05-2020,279,11,7,290,34892,257,88.62,25479,0,0.00,21.176
35,Ontario,Ontario,19-05-2020,23384,0,1919,23384,541489,17898,76.54,37173,427,1.86,160.532
24,Quebec,Québec,19-05-2020,44197,0,3647,44197,341102,12497,28.28,40201,570,1.31,520.886
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,19-05-2020,260,0,3,260,10744,250,96.15,20600,0,0.00,49.852
13,New Brunswick,Nouveau-Brunswick,19-05-2020,120,0,0,120,19453,120,100.00,25042,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,19-05-2020,1044,0,56,1044,37594,956,91.57,38701,1,0.10,107.474
11,Prince Edward Island,Île-du-Prince-Édouard,19-05-2020,27,0,0,27,4761,27,100.00,30335,0,0.00,17.203
60,Yukon,Yukon,19-05-2020,11,0,0,11,1134,11,100.00,27757,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,19-05-2020,5,0,0,5,1890,5,100.00,42163,0,0.00,11.154
62,Nunavut,Nunavut,19-05-2020,0,0,0,0,665,0,N/A,17148,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,19-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,19-05-2020,79101,11,5912,79112,1339971,40050,50.62,35648,1040,1.33,210.464
59,British Columbia,Colombie-Britannique,20-05-2020,2467,0,149,2467,107152,2001,81.11,21129,21,0.86,48.646
48,Alberta,Alberta,20-05-2020,6716,0,128,6716,203397,5584,83.14,46530,0,0.00,153.638
47,Saskatchewan,Saskatchewan,20-05-2020,599,0,6,599,38332,470,78.46,32638,0,0.00,51.002
46,Manitoba,Manitoba,20-05-2020,279,11,7,290,35133,257,88.62,25655,0,0.00,21.176
35,Ontario,Ontario,20-05-2020,23774,0,1962,23774,567176,18190,76.51,38937,390,1.67,163.210
24,Quebec,Québec,20-05-2020,44775,0,3718,44775,346684,12822,28.64,40859,578,1.31,527.698
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,20-05-2020,260,0,3,260,10841,250,96.15,20786,0,0.00,49.852
13,New Brunswick,Nouveau-Brunswick,20-05-2020,120,0,0,120,19745,120,100.00,25417,0,0.00,15.447
12,Nova Scotia,Nouvelle-Écosse,20-05-2020,1045,0,57,1045,37932,956,91.48,39049,1,0.10,107.577
11,Prince Edward Island,Île-du-Prince-Édouard,20-05-2020,27,0,0,27,4951,27,100.00,31546,0,0.00,17.203
60,Yukon,Yukon,20-05-2020,11,0,0,11,1141,11,100.00,27929,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,20-05-2020,5,0,0,5,1890,5,100.00,42163,0,0.00,11.154
62,Nunavut,Nunavut,20-05-2020,0,0,0,0,676,0,N/A,17432,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,20-05-2020,13,0,,13,76,,,,0,0.00,
1,Canada,Canada,20-05-2020,80091,11,6030,80102,1375126,40693,50.80,36583,990,1.25,213.098
59,British Columbia,Colombie-Britannique,21-05-2020,2479,0,152,2479,108320,2020,81.48,21359,12,0.49,48.883
48,Alberta,Alberta,21-05-2020,6768,0,132,6768,205778,5710,84.37,47075,52,0.77,154.828
47,Saskatchewan,Saskatchewan,21-05-2020,622,0,7,622,38732,509,81.83,32979,23,3.84,52.960
46,Manitoba,Manitoba,21-05-2020,279,11,7,290,35723,265,91.38,26085,0,0.00,21.176
35,Ontario,Ontario,21-05-2020,24187,0,1993,24187,558792,18509,76.52,38361,413,1.74,166.045
24,Quebec,Québec,21-05-2020,45495,0,3800,45495,354172,13327,29.29,41741,720,1.61,536.184
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,21-05-2020,260,0,3,260,10967,253,97.31,21028,0,0.00,49.852
13,New Brunswick,Nouveau-Brunswick,21-05-2020,121,0,0,121,20104,120,99.17,25880,1,0.83,15.576
12,Nova Scotia,Nouvelle-Écosse,21-05-2020,1046,0,58,1046,38275,959,91.68,39402,1,0.10,107.680
11,Prince Edward Island,Île-du-Prince-Édouard,21-05-2020,27,0,0,27,5066,27,100.00,32278,0,0.00,17.203
60,Yukon,Yukon,21-05-2020,11,0,0,11,1142,11,100.00,27953,0,0.00,26.925
61,Northwest Territories,Territoires du Nord-Ouest,21-05-2020,5,0,0,5,1899,5,100.00,42364,0,0.00,11.154
62,Nunavut,Nunavut,21-05-2020,0,0,0,0,685,0,N/A,17664,0,0.00,0.000
99,Repatriated travellers,Voyageurs rapatriés,21-05-2020,13,0,,13,76,13,100.00,,0,0.00,
1,Canada,Canada,21-05-2020,81313,11,6152,81324,1379731,41728,51.31,36705,1222,1.53,216.349
59,British Columbia,Colombie-Britannique,22-05-2020,2479,0,152,2479,109844,2020,81.48,21660,,,
48,Alberta,Alberta,22-05-2020,6768,0,132,6768,205778,5710,84.37,47075,,,
47,Saskatchewan,Saskatchewan,22-05-2020,622,0,7,622,39072,509,81.83,33268,,,
46,Manitoba,Manitoba,22-05-2020,279,11,7,290,36590,265,91.38,26718,,,
35,Ontario,Ontario,22-05-2020,24628,0,2021,24628,569699,18767,76.20,39110,,,
24,Quebec,Québec,22-05-2020,45495,0,3800,45495,354172,13327,29.29,41741,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,22-05-2020,260,0,3,260,11096,253,97.31,21275,,,
13,New Brunswick,Nouveau-Brunswick,22-05-2020,121,0,0,121,20309,120,99.17,26144,,,
12,Nova Scotia,Nouvelle-Écosse,22-05-2020,1046,0,58,1046,38613,959,91.68,39750,,,
11,Prince Edward Island,Île-du-Prince-Édouard,22-05-2020,27,0,0,27,5201,27,100.00,33139,,,
60,Yukon,Yukon,22-05-2020,11,0,0,11,1142,11,100.00,27953,,,
61,Northwest Territories,Territoires du Nord-Ouest,22-05-2020,5,0,0,5,1899,5,100.00,42364,,,
62,Nunavut,Nunavut,22-05-2020,0,0,0,0,693,0,N/A,17870,,,
99,Repatriated travellers,Voyageurs rapatriés,22-05-2020,13,0,,13,76,13,100.00,,,,
1,Canada,Canada,22-05-2020,81754,11,6180,81765,1394184,41986,51.35,37090,,,
