CCAA,FECHA,CASOS,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos
AN,20/2/2020,0,0,,,,
AR,20/2/2020,,0,,,,
AS,20/2/2020,,0,,,,
IB,20/2/2020,,1,,,,
CN,20/2/2020,,1,,,,
CB,20/2/2020,,0,,,,
CM,20/2/2020,,0,,,,
CL,20/2/2020,,0,,,,
CT,20/2/2020,,0,,,,
CE,20/2/2020,,0,,,,
VC,20/2/2020,,0,,26,0,
EX,20/2/2020,,0,,,,
GA,20/2/2020,,0,,,,
MD,20/2/2020,,1,,,,
ML,20/2/2020,,0,,,,
MC,20/2/2020,,0,,,,
NC,20/2/2020,,0,,,,
PV,20/2/2020,,0,,,,
RI,20/2/2020,,0,,,,
AN,21/2/2020,,0,,,,
AR,21/2/2020,,0,,,,
AS,21/2/2020,,0,,,,
IB,21/2/2020,,1,,,,
CN,21/2/2020,,1,,,,
CB,21/2/2020,,0,,,,
CM,21/2/2020,,0,,,,
CL,21/2/2020,,0,,,,
CT,21/2/2020,,0,,,,
CE,21/2/2020,,0,,,,
VC,21/2/2020,,0,,30,1,
EX,21/2/2020,,0,,,,
GA,21/2/2020,,0,,,,
MD,21/2/2020,,1,,,,
ML,21/2/2020,,0,,,,
MC,21/2/2020,,0,,,,
NC,21/2/2020,,0,,,,
PV,21/2/2020,,0,,,,
RI,21/2/2020,,0,,,,
AN,22/2/2020,,0,,,,
AR,22/2/2020,,0,,,,
AS,22/2/2020,,0,,,,
IB,22/2/2020,,1,,,,
CN,22/2/2020,,1,,,,
CB,22/2/2020,,0,,,,
CM,22/2/2020,,0,,,,
CL,22/2/2020,,0,,,,
CT,22/2/2020,,0,,,,
CE,22/2/2020,,0,,,,
VC,22/2/2020,,0,,33,1,
EX,22/2/2020,,0,,,,
GA,22/2/2020,,0,,,,
MD,22/2/2020,,1,,,,
ML,22/2/2020,,0,,,,
MC,22/2/2020,,0,,,,
NC,22/2/2020,,0,,,,
PV,22/2/2020,,0,,,,
RI,22/2/2020,,0,,,,
AN,23/2/2020,,0,,,,
AR,23/2/2020,,0,,,,
AS,23/2/2020,,0,,,,
IB,23/2/2020,,1,,,,
CN,23/2/2020,,1,,,,
CB,23/2/2020,,0,,,,
CM,23/2/2020,,0,,,,
CL,23/2/2020,,0,,,,
CT,23/2/2020,,0,,,,
CE,23/2/2020,,0,,,,
VC,23/2/2020,,0,,38,2,
EX,23/2/2020,,0,,,,
GA,23/2/2020,,0,,,,
MD,23/2/2020,,1,,,,
ML,23/2/2020,,0,,,,
MC,23/2/2020,,0,,,,
NC,23/2/2020,,0,,,,
PV,23/2/2020,,0,,,,
RI,23/2/2020,,0,,,,
AN,24/2/2020,,0,,,,
AR,24/2/2020,,0,,,,
AS,24/2/2020,,0,,,,
IB,24/2/2020,,1,,,,
CN,24/2/2020,,2,,,,
CB,24/2/2020,,0,,,,
CM,24/2/2020,,0,,,,
CL,24/2/2020,,0,,,,
CT,24/2/2020,,0,,,,
CE,24/2/2020,,0,,,,
VC,24/2/2020,,0,,49,2,
EX,24/2/2020,,0,,,,
GA,24/2/2020,,0,,,,
MD,24/2/2020,,1,,,,
ML,24/2/2020,,0,,,,
MC,24/2/2020,,0,,,,
NC,24/2/2020,,0,,,,
PV,24/2/2020,,0,,,,
RI,24/2/2020,,0,,,,
AN,25/2/2020,,0,,,,
AR,25/2/2020,,0,,,,
AS,25/2/2020,,0,,,,
IB,25/2/2020,,1,,,,
CN,25/2/2020,,5,,,,
CB,25/2/2020,,0,,,,
CM,25/2/2020,,0,,,,
CL,25/2/2020,,0,,,,
CT,25/2/2020,,1,,,,
CE,25/2/2020,,0,,,,
VC,25/2/2020,,1,,58,2,
EX,25/2/2020,,0,,,,
GA,25/2/2020,,0,,,,
MD,25/2/2020,,2,,,,
ML,25/2/2020,,0,,,,
MC,25/2/2020,,0,,,,
NC,25/2/2020,,0,,,,
PV,25/2/2020,,0,,,,
RI,25/2/2020,,0,,,,
AN,26/2/2020,,1,,,,
AR,26/2/2020,,0,,,,
AS,26/2/2020,,0,,,,
IB,26/2/2020,,1,,,,
CN,26/2/2020,,6,,,,
CB,26/2/2020,,0,,,,
CM,26/2/2020,,0,,,,
CL,26/2/2020,,0,,,,
CT,26/2/2020,,2,,,,
CE,26/2/2020,,0,,,,
VC,26/2/2020,,2,,63,3,
EX,26/2/2020,,0,,,,
GA,26/2/2020,,0,,,,
MD,26/2/2020,,6,,,,
ML,26/2/2020,,0,,,,
MC,26/2/2020,,0,,,,
NC,26/2/2020,,0,,,,
PV,26/2/2020,,0,,,,
RI,26/2/2020,,0,,,,
AN,27/2/2020,,6,,,,
AR,27/2/2020,,0,,,,
AS,27/2/2020,,0,,,,
IB,27/2/2020,,1,,,,
CN,27/2/2020,,6,,,,
CB,27/2/2020,,0,,,,
CM,27/2/2020,,0,,,,
CL,27/2/2020,,2,,,,
CT,27/2/2020,,3,,,,
CE,27/2/2020,,0,,,,
VC,27/2/2020,,8,,73,3,
EX,27/2/2020,,0,,,,
GA,27/2/2020,,0,,,,
MD,27/2/2020,,10,,,,
ML,27/2/2020,,0,,,,
MC,27/2/2020,,0,,,,
NC,27/2/2020,,0,,,,
PV,27/2/2020,,0,,,,
RI,27/2/2020,,0,,,,
AN,28/2/2020,,8,,,,
AR,28/2/2020,,0,,,,
AS,28/2/2020,,0,,,,
IB,28/2/2020,,2,,,,
CN,28/2/2020,,6,,,,
CB,28/2/2020,,0,,,,
CM,28/2/2020,,0,,,,
CL,28/2/2020,,2,,,,
CT,28/2/2020,,5,,,,
CE,28/2/2020,,0,,,,
VC,28/2/2020,,10,,78,3,
EX,28/2/2020,,0,,,,
GA,28/2/2020,,0,,,,
MD,28/2/2020,,20,,,,
ML,28/2/2020,,0,,,,
MC,28/2/2020,,0,,,,
NC,28/2/2020,,0,,,,
PV,28/2/2020,,2,,,,
RI,28/2/2020,,0,,,,
AN,29/2/2020,,12,,,,
AR,29/2/2020,,0,,,,
AS,29/2/2020,,1,,0,1,0
IB,29/2/2020,,2,,,,
CN,29/2/2020,,7,,,,
CB,29/2/2020,,1,,,,
CM,29/2/2020,,1,,,,
CL,29/2/2020,,3,,,,
CT,29/2/2020,,6,,,,
CE,29/2/2020,,0,,,,
VC,29/2/2020,,15,,85,3,
EX,29/2/2020,,4,,,,
GA,29/2/2020,,0,,,,
MD,29/2/2020,,27,,,,
ML,29/2/2020,,0,,,,
MC,29/2/2020,,0,,,,
NC,29/2/2020,,1,,,,
PV,29/2/2020,,3,,,,
RI,29/2/2020,,0,,,,
AN,1/3/2020,,12,,,,
AR,1/3/2020,,0,,,,
AS,1/3/2020,,1,,0,1,0
IB,1/3/2020,,2,,,,
CN,1/3/2020,,7,,,,
CB,1/3/2020,,10,,,,
CM,1/3/2020,,3,,,,
CL,1/3/2020,,3,,,,
CT,1/3/2020,,15,,,,
CE,1/3/2020,,0,,,,
VC,1/3/2020,,15,,88,3,
EX,1/3/2020,,6,,,,
GA,1/3/2020,,0,,,,
MD,1/3/2020,,53,,,,
ML,1/3/2020,,0,,,,
MC,1/3/2020,,0,,,,
NC,1/3/2020,,1,,,,
PV,1/3/2020,,9,,,,
RI,1/3/2020,,1,,,,
AN,2/3/2020,,12,,,,
AR,2/3/2020,,0,,,,
AS,2/3/2020,,1,,1,1,0
IB,2/3/2020,,2,,,,
CN,2/3/2020,,7,,,,
CB,2/3/2020,,10,,,,
CM,2/3/2020,,7,,,,
CL,2/3/2020,,8,,,,
CT,2/3/2020,,15,,,,
CE,2/3/2020,,0,,,,
VC,2/3/2020,,15,,93,3,
EX,2/3/2020,,6,,,,
GA,2/3/2020,,0,,,,
MD,2/3/2020,,96,,,,
ML,2/3/2020,,0,,,,
MC,2/3/2020,,0,,,,
NC,2/3/2020,,1,,,,
PV,2/3/2020,,13,,,,
RI,2/3/2020,,2,,,,
AN,3/3/2020,,12,,,,
AR,3/3/2020,,0,,,,
AS,3/3/2020,,2,,1,1,0
IB,3/3/2020,,5,,,,
CN,3/3/2020,,7,,,,
CB,3/3/2020,,10,,,,
CM,3/3/2020,,12,,,,
CL,3/3/2020,,11,,,,
CT,3/3/2020,,15,,,,
CE,3/3/2020,,0,,,,
VC,3/3/2020,,19,,105,5,
EX,3/3/2020,,6,,,,
GA,3/3/2020,,1,,,,
MD,3/3/2020,,142,,,,
ML,3/3/2020,,0,,,,
MC,3/3/2020,,0,,,,
NC,3/3/2020,,3,,,,
PV,3/3/2020,,17,,,,
RI,3/3/2020,,7,,,,
AN,4/3/2020,,12,,,,
AR,4/3/2020,,1,,,,
AS,4/3/2020,,4,,1,1,0
IB,4/3/2020,,6,,,,
CN,4/3/2020,,8,,,,
CB,4/3/2020,,10,,,,
CM,4/3/2020,,13,,,,
CL,4/3/2020,,11,,,,
CT,4/3/2020,,24,,,,
CE,4/3/2020,,0,,,,
VC,4/3/2020,,19,,117,6,
EX,4/3/2020,,6,,,,
GA,4/3/2020,,1,,,,
MD,4/3/2020,,199,,,,
ML,4/3/2020,,0,,,,
MC,4/3/2020,,0,,,,
NC,4/3/2020,,3,,,,
PV,4/3/2020,,17,,,,
RI,4/3/2020,,17,,,,
AN,5/3/2020,,21,,,,
AR,5/3/2020,,1,,,,
AS,5/3/2020,,4,,4,1,0
IB,5/3/2020,,6,,,,
CN,5/3/2020,,11,,,,
CB,5/3/2020,,10,,,,
CM,5/3/2020,,15,,,,
CL,5/3/2020,,14,,,,
CT,5/3/2020,,24,,,,
CE,5/3/2020,,0,,,,
VC,5/3/2020,,30,,130,8,
