Date,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Guadeloupe,Saint-Barthélémy,Saint-Martin,Martinique,Guyane,La Réunion,Mayotte,Nouvelle-Calédonie,Total
24/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25/02/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26/02/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27/02/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28/02/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29/02/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
01/03/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
02/03/2020,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
03/03/2020,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
04/03/2020,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
05/03/2020,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
06/03/2020,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9
07/03/2020,0,0,1,0,0,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,16
08/03/2020,1,0,1,0,0,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,19
09/03/2020,3,0,1,0,1,4,15,4,1,0,0,0,1,0,0,0,0,0,0,0,0,30
10/03/2020,3,0,1,0,1,5,16,4,1,0,0,0,1,0,0,0,0,0,0,0,0,33
11/03/2020,3,0,1,0,1,9,,4,1,0,0,0,1,0,0,0,0,0,0,0,0,48
12/03/2020,7,5,3,0,3,,20,4,1,0,0,0,1,0,0,0,0,0,0,0,0,61
13/03/2020,10,5,3,0,5,21,26,7,1,0,0,0,1,0,0,0,0,0,0,0,0,79
14/03/2020,12,6,3,0,5,24,29,7,1,0,0,0,1,0,0,0,0,0,0,0,0,91
15/03/2020,18,6,3,0,5,45,,7,1,2,1,0,1,0,0,0,0,0,0,0,0,127
16/03/2020,20,6,3,0,5,51,39,7,1,2,3,0,1,0,0,0,0,0,0,0,0,148
17/03/2020,24,10,3,1,5,61,46,7,1,2,5,1,4,0,0,0,0,0,0,0,0,175
18/03/2020,27,20,7,1,5,120,55,36,3,2,10,2,7,0,0,0,1,0,0,0,0,244
19/03/2020,39,23,10,1,5,148,69,56,5,3,17,3,9,0,0,0,1,0,0,0,0,372
20/03/2020,39,28,12,1,5,183,81,99,7,3,23,3,11,1,0,0,1,0,0,0,0,450
21/03/2020,57,36,15,2,5,209,91,122,7,7,27,3,13,1,0,0,1,0,0,0,0,562
22/03/2020,72,51,17,3,6,252,97,140,9,8,30,4,15,1,0,0,1,0,0,0,0,674
23/03/2020,85,62,22,8,11,335,108,193,10,13,32,10,20,1,0,0,1,0,0,0,0,860
24/03/2020,86,86,25,8,12,407,123,262,16,14,40,14,26,1,0,0,1,0,0,0,0,1100
25/03/2020,104,102,28,13,15,506,137,357,19,25,45,17,33,1,0,0,1,0,0,0,0,1331
26/03/2020,134,123,29,20,19,584,150,460,20,34,54,31,44,1,0,0,1,0,0,0,0,1696
27/03/2020,165,139,34,26,19,657,169,578,24,42,61,31,48,1,0,0,1,0,0,0,0,1995
28/03/2020,195,148,37,35,19,753,196,688,26,50,68,42,55,1,0,0,1,0,0,0,0,2314
29/03/2020,227,164,41,39,19,815,211,807,32,58,76,47,65,2,0,0,3,0,0,0,0,2606
30/03/2020,264,187,45,53,19,919,242,954,42,72,82,58,80,4,0,0,3,0,0,0,0,3024
31/03/2020,295,214,50,71,20,1015,280,1176,62,78,91,71,103,5,0,0,3,0,0,0,0,3523
01/04/2020,349,230,55,77,21,1126,330,1369,69,82,108,82,124,7,0,0,3,0,0,0,0,4032
02/04/2020,404,271,63,84,23,1178,370,1571,81,94,119,92,141,7,0,0,3,0,0,2,0,4503
03/04/2020,448,303,69,98,26,1311,438,1791,93,100,131,109,161,8,0,0,3,0,0,2,0,6507
