Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-15,AE,0,4,5,0,2,1
2020-02-15,AF,-9,-10,0,-2,-28,5
2020-02-15,AG,-6,-1,-6,-1,0,3
2020-02-15,AO,3,-2,7,3,2,1
2020-02-15,AR,1,-3,-3,4,-1,0
2020-02-15,AR_A,-1,-2,-6,7,1,1
2020-02-15,AR_C,-1,-2,0,4,0,0
2020-02-15,AR_D,0,-4,-1,-37,1,-1
2020-02-15,AR_E,0,-4,0,0,1,1
2020-02-15,AR_F,14,11,21,-6,1,-1
2020-02-15,AR_G,2,-3,7,2,1,0
2020-02-15,AR_H,-18,-19,-35,-21,-14,7
2020-02-15,AR_J,2,3,7,-7,0,0
2020-02-15,AR_K,3,3,-4,-49,4,1
2020-02-15,AR_L,-3,-2,4,-10,0,0
2020-02-15,AR_M,8,-1,0,2,2,0
2020-02-15,AR_N,-7,-6,-24,-7,-4,4
2020-02-15,AR_P,-16,-14,-27,-8,-6,4
2020-02-15,AR_Q,4,1,17,9,1,1
2020-02-15,AR_R,1,-1,-15,-13,3,1
2020-02-15,AR_S,5,-3,-2,22,0,0
2020-02-15,AR_T,9,4,-7,-21,1,1
2020-02-15,AR_U,-1,-3,-24,-5,-2,3
2020-02-15,AR_V,2,-1,-28,-4,-4,2
2020-02-15,AR_W,-12,-11,-31,-6,-7,5
2020-02-15,AR_X,5,-4,-7,-1,0,0
2020-02-15,AR_Y,-5,1,-2,-2,3,1
2020-02-15,AR_Z,4,6,-4,4,-2,2
2020-02-15,AT,9,1,42,13,0,-2
2020-02-15,AT_11,-3,-3,57,21,-7,-2
2020-02-15,AT_12,12,1,60,13,3,-2
2020-02-15,AT_13,11,5,57,11,2,-2
2020-02-15,AT_21,3,-1,-1,6,-3,0
2020-02-15,AT_22,4,-3,29,11,1,-1
2020-02-15,AT_31,5,-2,62,13,-1,-2
2020-02-15,AT_32,8,6,36,6,0,-2
2020-02-15,AT_33,9,3,20,17,-1,-2
2020-02-15,AT_34,12,2,67,20,-2,-2
2020-02-15,AU,4,3,-2,3,3,0
2020-02-15,AU_ACT,7,5,28,4,6,-1
2020-02-15,AU_NSW,4,5,1,10,3,-1
2020-02-15,AU_NT,7,8,10,-3,2,0
2020-02-15,AU_QLD,3,4,-8,-2,1,1
2020-02-15,AU_SA,6,2,5,4,2,0
2020-02-15,AU_TAS,2,-1,-14,-4,0,1
2020-02-15,AU_VIC,3,3,-22,1,3,1
2020-02-15,AU_WA,7,3,-1,12,2,0
2020-02-15,AW,2,3,12,26,-2,-2
2020-02-15,BA,8,6,16,3,1,-1
2020-02-15,BB,1,0,4,2,0,0
2020-02-15,BD,4,6,10,7,8,1
2020-02-15,BE,3,2,29,9,1,-1
2020-02-15,BF,3,1,2,0,6,-1
2020-02-15,BG,-1,0,-7,2,-1,0
2020-02-15,BH,-3,3,-11,-1,3,1
2020-02-15,BJ,4,4,-1,1,2,-1
