key,date,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
AE,2020-06-19,-46,-22,-66,-58,-21,16
AF,2020-06-19,-75,-67,-61,-79,-66,5
AG,2020-06-19,-28,-14,-11,-39,-29,18
AO,2020-06-19,-21,-6,-15,-44,-14,16
AR,2020-06-19,-56,-7,-82,-49,-24,17
AR_A,2020-06-19,-31,10,-62,3,-2,8
AR_B,2020-06-19,-64,-13,-87,-48,-33,20
AR_C,2020-06-19,-72,-13,-81,-65,-54,29
AR_D,2020-06-19,-48,0,-88,-58,-2,9
AR_E,2020-06-19,-53,-2,-86,-61,-6,11
AR_F,2020-06-19,-40,15,-90,-47,2,10
AR_G,2020-06-19,-36,15,-59,-47,-4,8
AR_H,2020-06-19,-73,-21,-90,-77,-29,18
AR_J,2020-06-19,-34,19,-80,-62,0,9
AR_K,2020-06-19,-30,27,-80,2,13,7
AR_L,2020-06-19,-44,8,-77,-16,0,8
AR_M,2020-06-19,-45,-5,-83,-28,-11,15
AR_N,2020-06-19,-33,7,-68,-67,3,8
AR_P,2020-06-19,-63,2,-78,-3,2,9
AR_Q,2020-06-19,-52,-11,-82,-37,-20,19
AR_R,2020-06-19,-65,-23,-84,-85,-22,19
AR_S,2020-06-19,-41,5,-85,7,-9,10
AR_T,2020-06-19,-29,18,-50,-49,-1,7
AR_U,2020-06-19,-59,-18,-87,-74,-23,19
AR_V,2020-06-19,-30,0,-67,-72,-9,12
AR_W,2020-06-19,-47,0,-73,-59,2,8
AR_X,2020-06-19,-50,-7,-81,-64,-15,13
AR_Y,2020-06-19,-75,-35,-83,-77,-32,22
AR_Z,2020-06-19,-41,8,-71,-76,-3,12
AT,2020-06-19,-17,-8,14,-25,-24,4
AT_11,2020-06-19,3,-3,112,-33,-17,3
AT_12,2020-06-19,0,-4,59,-31,-22,4
AT_13,2020-06-19,-19,-12,16,-24,-31,5
AT_21,2020-06-19,-6,-3,59,-7,-19,3
AT_22,2020-06-19,-9,-5,30,-22,-21,3
AT_31,2020-06-19,-13,-5,60,-19,-21,3
AT_32,2020-06-19,-33,-17,-37,-31,-26,4
AT_33,2020-06-19,-38,-17,-21,-38,-27,4
AT_34,2020-06-19,-16,-2,-29,-30,-23,5
AU,2020-06-19,-12,5,-16,-36,-15,9
AU_ACT,2020-06-19,-13,-1,17,-33,-16,11
AU_NSW,2020-06-19,-13,2,-12,-34,-16,8
AU_NT,2020-06-19,12,19,16,-25,12,1
AU_QLD,2020-06-19,-12,3,-11,-37,-10,6
AU_SA,2020-06-19,-11,5,-34,-28,-6,7
AU_TAS,2020-06-19,-21,-7,-47,-42,-7,8
AU_VIC,2020-06-19,-16,2,-19,-49,-24,12
AU_WA,2020-06-19,-5,7,-17,-35,-4,6
AW,2020-06-19,-24,0,-8,-44,-20,9
BA,2020-06-19,-2,7,31,-9,-10,0
BB,2020-06-19,-32,-20,-28,-55,-33,19
BD,2020-06-19,-51,-29,-30,-45,-6,13
BE,2020-06-19,-13,-2,49,-27,-32,10
BF,2020-06-19,5,2,2,-19,3,1
BG,2020-06-19,-5,0,40,-14,-20,0
BH,2020-06-19,-41,-19,-41,-39,-19,16
BJ,2020-06-19,-3,3,7,-15,-3,3
BO,2020-06-19,-52,-27,-35,-49,-40,22
BO_B,2020-06-19,-49,-29,-39,-66,-36,20
BO_C,2020-06-19,-37,-11,-31,-50,-29,17
BO_H,2020-06-19,-60,-50,-52,-73,-43,24
BO_L,2020-06-19,-43,9,-21,-28,-29,15
BO_N,2020-06-19,-80,-64,-65,,-59,
BO_O,2020-06-19,-39,-16,-37,-63,-28,18
BO_P,2020-06-19,-58,-43,-47,-67,-35,23
BO_S,2020-06-19,-63,-44,-61,-69,-53,31
BO_T,2020-06-19,-49,-36,-48,-57,-38,24
BR,2020-06-19,-41,1,-40,-37,-20,14
BR_AC,2020-06-19,-49,-1,-45,-65,-20,15
BR_AL,2020-06-19,-53,-11,-57,-52,-26,15
BR_AM,2020-06-19,-21,11,-23,-17,-12,11
BR_AP,2020-06-19,-52,11,-31,-57,-31,15
BR_BA,2020-06-19,-49,-5,-51,-52,-23,16
BR_CE,2020-06-19,-49,-3,-75,-44,-28,15
BR_DF,2020-06-19,-41,12,-42,-32,-27,17
BR_ES,2020-06-19,-46,-4,-73,-43,-19,15
BR_GO,2020-06-19,-39,9,-19,-22,-12,13
BR_MA,2020-06-19,-33,8,-22,-41,-17,13
BR_MG,2020-06-19,-34,10,-23,-26,-12,12
BR_MS,2020-06-19,-20,5,-21,-26,-2,9
BR_MT,2020-06-19,-31,4,-29,-35,-9,13
BR_PA,2020-06-19,-31,8,-25,-36,-15,14
BR_PB,2020-06-19,-62,-12,-64,-60,-29,17
BR_PE,2020-06-19,-51,-4,-47,-34,-26,14
BR_PI,2020-06-19,-55,-10,-33,-64,-26,20
BR_PR,2020-06-19,-34,1,-36,-34,-13,12
BR_RJ,2020-06-19,-41,1,-52,-40,-26,16
BR_RN,2020-06-19,-57,-16,-69,-51,-28,18
BR_RO,2020-06-19,-28,5,-17,-49,-8,13
BR_RR,2020-06-19,-41,4,-44,-45,-16,15
BR_RS,2020-06-19,-34,-1,-43,-35,-15,13
BR_SC,2020-06-19,-30,-11,-60,-50,-10,10
BR_SE,2020-06-19,-48,-8,-50,-58,-28,15
BR_SP,2020-06-19,-45,1,-30,-40,-24,15
BR_TO,2020-06-19,-25,2,-18,-38,-7,11
BS,2020-06-19,-25,1,-16,-53,-29,14
BW,2020-06-19,2,14,7,-5,5,10
BY,2020-06-19,-5,10,73,-6,-25,-1
BZ,2020-06-19,-22,-5,-16,-40,-25,11
CA,2020-06-19,-21,4,128,-45,-40,11
CA_AB,2020-06-19,-13,11,111,-46,-36,8
CA_BC,2020-06-19,-18,6,121,-40,-36,8
CA_MB,2020-06-19,-3,12,130,-40,-32,6
CA_NB,2020-06-19,-6,3,235,-20,-31,6
CA_NL,2020-06-19,-6,4,119,-8,-13,6
CA_NS,2020-06-19,-9,2,254,-41,-37,8
CA_NT,2020-06-19,-27,-10,,-43,-33,
CA_NU,2020-06-19,-36,,,,-13,
CA_ON,2020-06-19,-27,-1,117,-49,-45,14
CA_PE,2020-06-19,-3,5,-37,,-29,3
CA_QC,2020-06-19,-22,3,167,-43,-37,9
CA_SK,2020-06-19,-9,10,111,-36,-31,7
CA_YT,2020-06-19,-27,-26,,,-29,
CH,2020-06-19,-15,1,14,-21,-21,6
CH_AG,2020-06-19,-10,4,4,-16,-18,6
CH_AI,2020-06-19,-80,,,,-3,
CH_AR,2020-06-19,-62,12,,-9,-12,
CH_BE,2020-06-19,-16,1,21,-20,-17,5
CH_BL,2020-06-19,-8,7,-3,-9,-20,6
CH_BS,2020-06-19,-29,-4,-42,-23,-23,7
CH_FR,2020-06-19,-14,4,27,-15,-18,6
CH_GE,2020-06-19,-20,-4,13,-39,-29,8
CH_GL,2020-06-19,-10,-3,,0,-9,
CH_GR,2020-06-19,-38,-6,-14,-40,-18,3
CH_JU,2020-06-19,-8,5,,-4,-14,4
CH_LU,2020-06-19,-13,3,-25,-16,-16,6
CH_NE,2020-06-19,-13,-5,25,-8,-24,7
CH_NW,2020-06-19,-62,0,-76,-20,-14,
